id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2535206455,1,34,16,0,0,4jg5vd59i24chckyua90dr1lg,1,0,0,2023-04-17T16:09:31.421Z,2023-04-17T16:58:00Z,4198617339,130,7,4198617345,197,5799,4198617343,194,9z8zmq5mh3nzaxtvpf5ox3snp,4198617337,59,"30, 4, 21, 5, 2, 6, 14, 19, 28, 8, 7, 36, 13, 16, 22, 23, 27, 31, 35",4198617347,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4198617333,30,"4mnn3qqpodu948yni3okjj7qh, 520dbk81emwb7u262qivg8wyd, cdlngd5oc988etq8dp8bh4s7p, 9sgtxk82p3wstmmncfw7n5fu2, 85jw7q58nuiekjl7snvmkjyp6, 9z8zmq5mh3nzaxtvpf5ox3snp, 27a8ay3weff9zyxw7usa54cet, 546vmchsyl1wt10pr13r5oup6, 9nafz0c0x2qvmo5ldm0djmcq1, bhaqw4112j43c753dlxhy61ud, 94v0gyaccr498bwf5enqyhox6, es8z1xh8vhhtrjs8jrfbrqrro, dcewpavwmjbplo5fahrzfxega, gkyakbpfwhi9ura3y4zz0tuc, 72eskzopskdqlizss1nhznuqy, 7i8utv6wtfvi4cm30trc13f8p, 16yubrg729egk45a0g71aog7o, 7ckkvggtampx9s3nklr1u62vo, au9h3i90r6jzx2meizig72ve2",4198617335,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4198617341,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535206523,1,34,16,0,0,4mo3tith28qu9za01e8siplsn,1,0,0,2023-04-17T16:10:03.215Z,2023-04-17T17:14:49Z,4198617745,59,"1, 20, 5, 12, 3, 18, 8, 39, 14, 21, 11, 10, 17, 22, 29, 30, 36, 38, 40, 45",4198617743,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4198617751,194,174tz9lh744fhcxzabu00746h,4198617747,130,13,4198617755,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4198617753,197,7846,4198617741,30,"b20ropdfff7oj1us6nliccamt, 142z7063thl0i1suzjq7kzr9x, uw1y94hwwthwor4cohho58gk, 1wg15zg0fffyoag6owdh35vkk, 8hfaq7u5l18azxpig0vlv1exh, 1dbt7rghmrochy28w24ro9hhx, 174tz9lh744fhcxzabu00746h, 80mvshlrrlu5vt41gkruwn8fe, 2097lnalyp5iq6vxvmbsnbhuc, 40xz5b2qkj6qw867twakfkne2, 1b0rwzo6ph64v5c00yajvgjmy, ez7xc7vakt4fmabtp61w72yju, bsx2ppp4b3zuxftscqwcxj59m, 8fex5j7leqyofhgd7h65xwkr8, bqg4zg2z0wyr0cc1v1xutifo5, 5aub1uvozn6d01gfihcvccvhm, c9bgfg99tu0cltgp036y27lgq, 6hg7vuwjkywi1c66zggzmj5jp, 2wasw4729h0il5c90z5nna9nu, bz5stocchmjbtwzd35qd2be5m",4198617749,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535210935,2,32,1,0,0,4jg5vd59i24chckyua90dr1lg,1,0,0,2023-04-17T17:00:39.519Z,2023-04-17T17:00:42Z,4198644815,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535210933,2,32,1,0,0,4mo3tith28qu9za01e8siplsn,1,0,0,2023-04-17T17:00:39.519Z,2023-04-19T13:20:44Z,4198644813,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535210937,3,1,1,0,0,4jg5vd59i24chckyua90dr1lg,1,50.1,50.3,2023-04-17T17:00:39.689Z,2023-04-17T19:01:41Z,4198644827,279,S,4198644819,140,35.0,4198644825,213,3.2,4198644823,212,15.9,4198644817,56,Back,4198644821,141,48.7,,,,,,,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535210939,4,1,1,0,1,4jg5vd59i24chckyua90dr1lg,1,40.1,46.4,2023-04-17T17:00:41.418Z,2023-04-17T17:00:43Z,4198644841,141,68.4,4198644837,56,Back,4198644843,212,17.1,4198644845,213,2.1,4198644839,140,32.2,,,,,,,,,,9sgtxk82p3wstmmncfw7n5fu2,J. Roche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535210943,5,1,1,0,4,4jg5vd59i24chckyua90dr1lg,1,30.9,68.1,2023-04-17T17:00:43.579Z,2023-04-17T17:00:47Z,4198644853,140,32.7,4198644859,213,1.4,4198644851,56,Back,4198644857,212,14.1,4198644855,141,88.6,,,,,,,,,,9z8zmq5mh3nzaxtvpf5ox3snp,M. Mathisen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535210945,6,1,1,0,7,4jg5vd59i24chckyua90dr1lg,1,31.7,87.1,2023-04-17T17:00:47.147Z,2023-04-17T17:00:50Z,4198644873,140,22.7,4198644875,141,69.1,4198644879,213,4.1,4198644871,56,Back,4198644877,212,15.5,,,,,,,,,,cdlngd5oc988etq8dp8bh4s7p,D. Widgren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535210947,7,2,1,0,10,4jg5vd59i24chckyua90dr1lg,1,24.1,53.6,2023-04-17T17:00:49.948Z,2023-04-17T17:00:54Z,4198644887,56,Center,4198644885,1,,4198644883,7,27a8ay3weff9zyxw7usa54cet,4198644891,141,40.9,4198644889,140,68.8,,,,,,,,,,9z8zmq5mh3nzaxtvpf5ox3snp,M. Mathisen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535210949,3,55,1,0,10,4mo3tith28qu9za01e8siplsn,1,29,63.3,2023-04-17T17:00:49.949Z,2023-04-17T17:52:47Z,,,,,,,,,,,,,,,,,,,,,,,,,1wg15zg0fffyoag6owdh35vkk,V. Rönnberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
