id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,keyPass,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/16/value,qualifier/15/value
2545926039,1,34,16,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0,0,2023-05-08T16:09:15.669Z,2023-05-08T17:00:28Z,4262712203,30,"nchbnx9d19b7p899usbyfr2t, eekz2ott1frktykurkd5tmy2, 613kkjtvfyf7mbvrqt9pcizmd, 6co35kabo4cg0o796clfc9z6y, 2iq4fns3hb778wgkmsa2c9zze, c8rh8b925j9iq99ri9z4jqfx0, bd52544djk7t61roc813rewdm, 9ajfpzjfipsub15tats3mo2j9, au1328z9bxkwrtv9y2dczkwk5, 7dkzh4tqb9wrcw8gkx5k1x9t5, 991l8wbi9cfhm2pmyid7cle22, 6vil8gpscw3z5hpoynir9i295, 3j10i32az64qfnkrjuiz2n4t0, ec6qqle54cq9gck2jhnbpjzs9, 6ynddvrfay02kkirltpn68s4q, bs0mkqzsgcrk6tswsxj5a83c9, 2nduymuxduqebf1wyf0bjxgtm, 46ups8z9vhv73u0op2ld07wus, 52d84j3zno9y0po641urvjmqd, 2gbfwdmpk5gfmcc979aqfkyxh",4262712209,130,13,4262712207,59,"1, 20, 5, 3, 15, 6, 47, 11, 10, 21, 8, 4, 9, 12, 14, 18, 22, 23, 25, 2",4262712215,197,10418,4262712217,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4262712213,194,9ajfpzjfipsub15tats3mo2j9,4262712205,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4262712211,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545929629,1,34,16,0,0,7hlumphk42363z3i2nry2wrzj,1,0,0,2023-05-08T16:14:54.700Z,2023-05-08T17:04:55Z,4262731709,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4262731703,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4262731707,197,8325,4262731705,194,8ntq70sdmvbmmvchvu5jd6ndh,4262731697,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4262731699,59,"1, 20, 14, 21, 2, 24, 10, 9, 5, 19, 8, 3, 7, 22, 23, 26, 28, 32, 37, 45",4262731701,130,4,4262731695,30,"dzdryjruyr4lpu3t7d5pgpn11, dlxtfrt1ioz51rwnizwz5657t, 3hn1o03lxsjzju3uorl6rnpxw, 5jv0xmo83g4lbzo8nodqbh46i, 6f45blx9waafcnjbq3fr1efv9, 7e058o66inex7g90wrwaeauw9, e3n8xatusmgu7ttqpfdjanp3p, 9d08simhpio6vi217mqtro6ad, 8ntq70sdmvbmmvchvu5jd6ndh, 7qgiqoaaarr6c2bs4yffqwju2, 5mb3g5nufbwhw09w3wgm6glwp, 2lafgzvhv0er31i6c2nb6xqfo, 5e2tf15sp7zo70njveqg1b2z9, 60gs7lod7de72ypcs6qfup8q2, 3h50mcu2jfrtj7noz1io0v3rp, 2sjrtjk6wzhqrgvitpevsxoiy, f01ppm88j40lvhe0i6xksw0es, 43tfpd1zge7whbwd5xchiu06i, bfnqlxk0wiv1uy0ptwwqhk9hw, 3fq2fvvmb2c5ybuz7ocmvzfxm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545948791,2,32,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0,0,2023-05-08T17:00:36.431Z,2023-05-11T18:24:13Z,4262839909,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545948787,2,32,1,0,0,7hlumphk42363z3i2nry2wrzj,1,0,0,2023-05-08T17:00:36.431Z,2023-05-08T17:00:36Z,4262839883,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545948811,3,1,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,49.9,49.9,2023-05-08T17:00:36.531Z,2023-05-08T17:00:40Z,4262840011,140,25.3,4262840013,141,61.4,4262840017,213,2.8,4262840019,279,S,4262840015,212,27.0,4262840009,56,Back,,,,,,,au1328z9bxkwrtv9y2dczkwk5,D. Vukojević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545948825,4,1,1,0,4,46yo78zak2j7kaxc5ak1fnm60,0,27.3,58.5,2023-05-08T17:00:40.726Z,2023-05-08T17:00:44Z,4262840117,155,,4262840119,56,Center,4262840121,140,78.8,4262840127,213,6.0,4262840129,1,,4262840123,141,32.4,4262840125,212,56.9,,,,2iq4fns3hb778wgkmsa2c9zze,S. Korač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545948815,3,44,1,0,6,7hlumphk42363z3i2nry2wrzj,1,21.7,64.8,2023-05-08T17:00:42.890Z,2023-05-08T17:01:13Z,4262841045,233,7,4262840061,285,,4262840059,56,Back,,,,,,,,,,,,,,,,7e058o66inex7g90wrwaeauw9,A. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545948961,7,44,1,0,6,46yo78zak2j7kaxc5ak1fnm60,0,78.3,35.2,2023-05-08T17:00:42.891Z,2023-05-08T17:01:13Z,4262841053,233,3,4262840811,286,,4262840809,56,Center,,,,,,,,,,,,,,,,au1328z9bxkwrtv9y2dczkwk5,D. Vukojević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545948819,4,1,1,0,6,7hlumphk42363z3i2nry2wrzj,0,23.5,72.7,2023-05-08T17:00:43.256Z,2023-05-08T17:00:43Z,4262840081,141,60.6,4262840077,56,Back,4262840079,140,27.5,4262840085,213,5.2,4262840083,212,9.2,4262840075,3,,,,,,,,7e058o66inex7g90wrwaeauw9,A. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545948847,5,13,1,0,7,46yo78zak2j7kaxc5ak1fnm60,1,74.1,49.7,2023-05-08T17:00:44.254Z,2023-05-11T18:40:14Z,4262866279,74,,4262866281,102,52.4,4262866277,20,,4262866293,458,,4262866283,103,68.1,4262840239,22,,4262840241,18,,4262866297,230,99.1,991l8wbi9cfhm2pmyid7cle22,D. Campos,4262866285,215,4262866287,108,4262866303,231,49.5,4262840243,56,Center,,,,,,,,,,,,,,,,,,,,,,
