id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/12/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2547743717,1,34,16,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0,0,2023-05-13T12:06:50.728Z,2023-05-13T12:06:50Z,4272432447,30,"eydu7p01ud08kscyaav4aaok5, ena92ro3qpi2wgbzznu4xc4fe, 15nsr315qb7jhyeik47x9wrxm, 35gounciadqplhg50z8pgno5, 6lykrd3hzedl7xljr167gow5x, 8unnvgvft6knxupbp9oxh621h, bar5tlyxm2vim2ewqauywgb85, 87cds2pw8n5bacxfbits3kk5w, de2unef3dan4fnahz184pyqz8, 619vlbweueymdkq1vu3jm2mwa, 5xbrybr5fxvg6br9b6tq4a4fd, 620zi46ifanq9e9j7qaluzqvp, dxnnlilj6cj5iyqhuvlfpiymt, 780mdhlnrheqczv6o7p5l8hzo, 5rbr8z5frgawr2ykcmcxbbluy, 88mmoskb8jyiyqyfvxvz0qmwa, ay86n2sd0odbxluws2jyx4zkk, 7sez5w47trh4xnngir0epzl04",4272432451,59,"26, 12, 25, 11, 13, 5, 18, 27, 7, 37, 24, 1, 15, 16, 19, 21, 23, 35",4272432453,130,4,4272432457,194,35gounciadqplhg50z8pgno5,4272432455,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4272432461,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272432459,197,4756,4272432449,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547745263,1,34,16,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0,0,2023-05-13T12:08:24.845Z,2023-05-13T12:08:24Z,4272440329,30,"nchbnx9d19b7p899usbyfr2t, eekz2ott1frktykurkd5tmy2, 613kkjtvfyf7mbvrqt9pcizmd, 6co35kabo4cg0o796clfc9z6y, 2iq4fns3hb778wgkmsa2c9zze, c8rh8b925j9iq99ri9z4jqfx0, bd52544djk7t61roc813rewdm, 2nduymuxduqebf1wyf0bjxgtm, au1328z9bxkwrtv9y2dczkwk5, emu9b7x0mtz4rp5p1fvd9wm39, 991l8wbi9cfhm2pmyid7cle22, 6vil8gpscw3z5hpoynir9i295, a4f6z4alegkvrhm4k864w9lg5, 3j10i32az64qfnkrjuiz2n4t0, ec6qqle54cq9gck2jhnbpjzs9, 6ynddvrfay02kkirltpn68s4q, bs0mkqzsgcrk6tswsxj5a83c9, 7dkzh4tqb9wrcw8gkx5k1x9t5, 1g8gjxlf08emzsdd4ww6zkydw, 52d84j3zno9y0po641urvjmqd",4272440335,130,13,4272440337,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272440333,59,"1, 20, 5, 3, 15, 6, 47, 22, 10, 16, 8, 4, 7, 9, 12, 14, 18, 21, 24, 25",4272440331,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4272440341,197,12463,4272440343,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272440339,194,emu9b7x0mtz4rp5p1fvd9wm39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547789785,2,32,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0,0,2023-05-13T13:00:34.199Z,2023-05-13T13:00:34Z,4272673495,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547789803,2,32,1,0,0,9zqn9ugvg64it0lr5z8cq4g9v,1,0,0,2023-05-13T13:00:34.199Z,2023-05-13T13:00:36Z,4272673567,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547789829,3,1,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,50,50,2023-05-13T13:00:34.299Z,2023-05-13T13:00:38Z,4272673727,56,Back,4272673729,140,27.3,4272673735,213,2.6,4272673737,279,S,4272673733,212,28.4,4272673731,141,72.7,,,,,,,991l8wbi9cfhm2pmyid7cle22,D. Campos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547789849,4,1,1,0,3,46yo78zak2j7kaxc5ak1fnm60,1,32.3,67.5,2023-05-13T13:00:38.188Z,2023-05-13T13:00:41Z,4272673869,155,,4272673873,140,79.2,4272673877,212,60.5,4272673871,56,Right,4272673875,141,15.8,4272673881,1,,4272673879,213,5.7,,,,6co35kabo4cg0o796clfc9z6y,K. Mammar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547789881,5,1,1,0,7,46yo78zak2j7kaxc5ak1fnm60,1,78.3,15.8,2023-05-13T13:00:41.500Z,2023-05-13T13:00:44Z,4272674079,213,4.6,4272674075,141,4.6,4272674077,212,7.7,4272674071,56,Right,4272674073,140,77.6,4272674069,3,,,,,,,,emu9b7x0mtz4rp5p1fvd9wm39,R. Örqvist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547789901,6,1,1,0,10,46yo78zak2j7kaxc5ak1fnm60,1,75.3,6.2,2023-05-13T13:00:44.732Z,2023-05-13T13:00:47Z,4272674205,141,16.8,4272674207,212,12.7,4272674203,140,65.3,4272674201,56,Right,4272674209,213,2.5,,,,,,,,,,eekz2ott1frktykurkd5tmy2,E. Bouzaiene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547789919,7,1,1,0,12,46yo78zak2j7kaxc5ak1fnm60,1,65.3,16.1,2023-05-13T13:00:47.037Z,2023-05-13T13:00:48Z,4272674295,140,65.9,4272674297,141,33.7,4272674293,56,Center,4272674299,212,12.0,4272674301,213,1.5,,,,,,,,,,bd52544djk7t61roc813rewdm,D. Pavlović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547789937,8,1,1,0,14,46yo78zak2j7kaxc5ak1fnm60,1,66.6,34.3,2023-05-13T13:00:48.380Z,2023-05-13T13:00:50Z,4272674381,56,Right,4272674383,140,56.1,4272674387,212,16.7,4272674385,141,15.9,4272674389,213,4.0,,,,,,,,,,2nduymuxduqebf1wyf0bjxgtm,J. Salmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
