id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/value
2546350451,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0,0,2023-05-09T16:08:05.522Z,2023-05-09T17:07:44Z,4264962953,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4264962943,59,"1, 32, 30, 34, 4, 13, 33, 5, 7, 20, 17, 9, 15, 19, 25, 31, 35, 36, 38, 44",4264962939,30,"4qyy11gb9nepxkd3i7f9axh0q, csye3q50ciculdiggvcefx8x6, 7eo3ceto09y3x4j4gh9m91kvd, bntdkaauxt1thtg6ukfs38g0k, 64wjz8rl45dql3qdc7ynk3ckq, 77zrjzfkfp7hozuj05ktwhtqt, 8erbr3ewwl0o6ib0q4r7tmp9m, 4mroygq2ruxkml5c5j4awwted, 8cdx7aahcxg6be4qiwv9vq39w, chzhwdk4l54t2kf606bkuiaqd, q1o72uyrvclbkccpjvzugacq, 5leej1ji11foystzd1xj4q961, 5s647zr10m1nxt4xxpxkpgmw9, au1cbzehllmo4yyt6s0d16rkk, 8vl4hue7ixvxh4dtner52sfrp, 467ykpwj32c3eip2ga0yts60a, 7rz0lp58sfrby20ksgwtswui2, cyfvxg9z9aqfsoydhz7sr3qxg, 2v1tnyzorjyx7pyf3auj73ytw, 8v1t7h0yv4scw5ymxxr8k8m50",4264962951,197,11443,4264962945,130,8,4264962947,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4264962949,194,chzhwdk4l54t2kf606bkuiaqd,4264962941,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546351145,1,34,16,0,0,spvvjmk37iid7hsky9g3nce7,1,0,0,2023-05-09T16:09:42.783Z,2023-05-09T18:06:02Z,4264966899,130,11,4264966893,30,"4cytj4f9uirlo8vb8mcsv6v6y, 93qjy2eilbuufwu2kbwpfng7p, 1rkikvibo6lmhhtyfbg21jtp0, 5h6xr50d54zcxnktz7q58oa1h, akuyf0uf6ev1es1zjhs9fss89, as6coaak724tr7igyz1wwlfc9, bv57jiquzqjnzuxzw5r663aad, dgxqp83lhb316dec1rpi5op62, 80s55a7uw8kypoikefwhtdm5m, czfitwajt0sayki90i3fk5n85, d58ji96mcnebbci6skc46x9uc, 9q5s6s6yxx5q68l0ajjkiyp78, b2ki48qnm9uycjpme5g6envf9, cu4fx7oa7rkoeqcgr619puok5, 4kmd502s272vf5wgkx8hk4vl5, 9hg51o20uf6u2bjgshjax9soa, 8rca5ubs4sceptlozciq296cq, 3vescyd2jf8wxx19q0kfedx0q, bomd9wl2cnqwck46ctwjqju1h, 23iwje6cgkgc05szzf2l5z97u",4264966907,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4264966905,197,7821,4264966901,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4264966903,194,czfitwajt0sayki90i3fk5n85,4264966895,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4264966897,59,"1, 7, 26, 24, 3, 5, 11, 16, 9, 22, 8, 23, 10, 12, 15, 17, 19, 29, 35, 14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546371545,2,32,1,0,0,spvvjmk37iid7hsky9g3nce7,1,0,0,2023-05-09T17:01:24.677Z,2023-05-09T17:01:24Z,4265081753,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546371549,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0,0,2023-05-09T17:01:24.677Z,2023-05-13T11:01:58Z,4265081761,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546371561,3,1,1,0,1,spvvjmk37iid7hsky9g3nce7,1,49.8,50.1,2023-05-09T17:01:25.777Z,2023-05-13T11:07:54Z,4265081841,140,30.4,4265081849,279,S,4265081847,213,2.8,4265081845,212,21.9,4265081839,56,Back,4265081843,141,62.0,,,,,,,d58ji96mcnebbci6skc46x9uc,O. Rosengren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546371581,4,1,1,0,3,spvvjmk37iid7hsky9g3nce7,0,31.5,56.3,2023-05-09T17:01:27.947Z,2023-05-09T17:01:35Z,4265081961,1,,4265081953,140,75.7,4265081957,212,48.0,4265081949,155,,4265081955,141,38.5,4265081951,56,Center,4265081959,213,6.0,,,,as6coaak724tr7igyz1wwlfc9,C. Rösler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546371585,3,44,1,0,8,2nnlsjfbcea40t4jeclcbw9lk,1,25.8,65.3,2023-05-09T17:01:33.430Z,2023-05-09T17:01:35Z,4265081981,285,,4265081979,56,Back,4265081999,233,5,,,,,,,,,,,,,,,,77zrjzfkfp7hozuj05ktwhtqt,M. Fenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546371583,5,44,1,0,8,spvvjmk37iid7hsky9g3nce7,0,74.2,34.7,2023-05-09T17:01:33.431Z,2023-05-09T17:01:35Z,4265082017,233,3,4265081965,56,Center,4265081967,286,,,,,,,,,,,,,,,,,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546371589,4,61,1,0,9,2nnlsjfbcea40t4jeclcbw9lk,1,27.3,69.1,2023-05-09T17:01:33.960Z,2023-05-09T17:01:34Z,4265081987,56,Back,,,,,,,,,,,,,,,,,,,,,,77zrjzfkfp7hozuj05ktwhtqt,M. Fenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546371599,5,43,1,0,10,2nnlsjfbcea40t4jeclcbw9lk,1,0,0,2023-05-09T17:01:35.187Z,2023-05-09T17:07:00Z,4265082059,213,0.6,4265082051,56,Back,4265091251,144,1,4265082057,212,1.3,4265082055,141,83.0,4265082053,140,8.3,,,,,,,77zrjzfkfp7hozuj05ktwhtqt,M. Fenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
