id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/16/value,qualifier/14/value,assist,qualifier/17/id,qualifier/17/qualifierId
2534663021,1,34,16,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0,0,2023-04-16T14:49:27.280Z,2023-04-16T15:26:06Z,4195737619,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195737625,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195737611,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4195737607,30,"5xkkb1l7y84mwfjsytlqoep04, 7yld2a7aw6d3lmmwpu1wovxsl, 96uzhuuez4q5pgxb566ryk53p, 7pel84swlqfux6obt6lznze1h, eybt8xfc15yw9kwnbvm64zend, 23p0dby12ymf55wwi0xz2fnx1, 6051gs5j7d6zss35h2twoqnd, 6736te1pno19jo5i82obbns2d, b9tsqyrv0xp0tt5nzwrmy9gb9, f3gxyvlnuwl9wglyroa6q2mll, 5t5ib5l818gj98xrztrj0kbca, 6u3k1pcpowzvy9qrngb3j3a39, csd7qb9u0a9am2ltse9w31uz8, 71ewtolv8guf3m6sh01pf1nmx, 1m0qpbce7dob7mdbo7titbqp5, 15mg49mqn215ce4ojukev0o2x, 5k7sf8hvml6cf6f29g9393v11, 7pk2vyumro8ku45aar5dw7dw4, 4oxlpwcwpa44hstpm70iep0id, 8adttli9ehdhi2216vpipzkr9",4195737623,197,7880,4195737617,130,4,4195737613,59,"40, 2, 8, 6, 17, 3, 13, 7, 11, 10, 15, 9, 12, 14, 16, 18, 19, 21, 23, 30",4195737621,194,6736te1pno19jo5i82obbns2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534670647,1,34,16,0,0,6i936isoyj6d0uuxdj537uc97,1,0,0,2023-04-16T14:58:34.427Z,2023-04-16T15:38:03Z,4195776839,59,"1, 17, 16, 8, 4, 3, 10, 24, 30, 9, 6, 7, 11, 12, 14, 15, 18, 19, 20, 27",4195776845,194,9g2ih9necaprsrtqfmul1bumt,4195776851,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195776843,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195776837,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4195776847,197,10629,4195776835,30,"e2bwgf3vzvv1rrfz39amdyrit, 52a5br8e27u4mj5f4m3djjkd1, cpjieadlcw20wrqn2uo02lyol, 9j6wrg04o32zuepsj675m104p, 9g2ih9necaprsrtqfmul1bumt, 9uumw2ntt4397bee2p3m2qdt6, 1xsy3m0bzicto5ogxsd026bmy, 1oxiwrp4v3e7j5v5vz9fe31lh, 74rqympe5uuab87psxt8y5mcq, 1j1fgb6yydw3ck6uaz42rohd5, edzj7i715cpyuuumcttajkc0l, b0rem4wo1p6sumrp6mb77f11w, atxo9oz3czimyk1t4xigfrkrt, c530mxbnk10671ogb1j4kr4r9, 7skwiyuh8kd7mswnwbin2glwp, 9bmo8w8t7slkzbb5owilyoqju, c3jxdm8s5meuohhv6hthhdy0a, 7q001jk9hk2ylv31sv48fv7dg, 7tsyahwlovx41jov2quanu8lw, 274bm1z19bvboucn9xt36b9ck",4195776841,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534699623,2,32,1,0,0,6i936isoyj6d0uuxdj537uc97,1,0,0,2023-04-16T15:30:48.020Z,2023-04-17T18:39:21Z,4195920929,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534699613,2,32,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0,0,2023-04-16T15:30:48.020Z,2023-04-16T15:30:48Z,4195920891,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534699687,3,1,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,49.9,50.1,2023-04-16T15:30:48.120Z,2023-04-16T15:41:05Z,4195921345,141,61.8,4195921351,279,S,4195921343,140,32.9,4195921347,212,19.5,4195921349,213,2.7,4195921341,56,Back,,,,,,,b9tsqyrv0xp0tt5nzwrmy9gb9,O. Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534699733,4,1,1,0,4,czkf5t3ai00ghwbga03i5aqxw,0,33.8,58.1,2023-04-16T15:30:52.617Z,2023-04-17T18:47:34Z,4195921511,213,5.7,4195921509,212,49.9,4195921501,155,,4195921507,141,20.7,4195921503,56,Right,4195921513,1,,4195921505,140,74.7,,,,23p0dby12ymf55wwi0xz2fnx1,M. Danielson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534699759,3,1,1,0,8,6i936isoyj6d0uuxdj537uc97,0,24.2,86.6,2023-04-16T15:30:56.058Z,2023-04-16T15:41:21Z,4195921701,56,Back,4195921709,213,0.2,4195921703,140,38.8,4195921699,3,,4195921705,141,91.1,4195921707,212,15.6,,,,,,,cpjieadlcw20wrqn2uo02lyol,B. Hjertstrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534699779,5,1,1,0,9,czkf5t3ai00ghwbga03i5aqxw,0,66.1,12.9,2023-04-16T15:30:57.435Z,2023-04-16T15:41:25Z,4195921825,213,0.0,4195921819,140,78.8,4195921817,56,Right,4195921823,212,13.3,4195921815,155,,4195921821,141,13.7,,,,,,,7yld2a7aw6d3lmmwpu1wovxsl,P. Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534699807,4,12,1,0,11,6i936isoyj6d0uuxdj537uc97,1,20.4,86.1,2023-04-16T15:30:59.192Z,2023-04-16T15:41:32Z,4195922001,212,10.9,4195922245,167,,4195921999,141,100.0,4195921997,140,23.5,4195922243,15,,4195922003,213,1.3,4195921995,56,Back,,,,cpjieadlcw20wrqn2uo02lyol,B. Hjertstrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534699815,5,5,1,0,11,6i936isoyj6d0uuxdj537uc97,0,27.8,101.4,2023-04-16T15:31:00.010Z,2023-04-16T15:37:46Z,4195922263,233,6,4195922049,56,Back,4195922051,347,,,,,,,,,,,,,,,,,cpjieadlcw20wrqn2uo02lyol,B. Hjertstrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
