id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,assist,qualifier/17/value
2536960527,1,34,16,0,0,4mo3tith28qu9za01e8siplsn,1,0,0,2023-04-22T12:03:56.908Z,2023-04-22T12:55:31Z,4207960075,194,1dbt7rghmrochy28w24ro9hhx,4207960079,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207960073,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207960077,197,7846,4207960067,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4207960071,130,8,4207960065,30,"b20ropdfff7oj1us6nliccamt, 1dbt7rghmrochy28w24ro9hhx, 1wg15zg0fffyoag6owdh35vkk, 174tz9lh744fhcxzabu00746h, 2wasw4729h0il5c90z5nna9nu, 8hfaq7u5l18azxpig0vlv1exh, 40xz5b2qkj6qw867twakfkne2, 80mvshlrrlu5vt41gkruwn8fe, 2097lnalyp5iq6vxvmbsnbhuc, 1b0rwzo6ph64v5c00yajvgjmy, uw1y94hwwthwor4cohho58gk, 6q24pbvhjw1qdvaetp6rd2cr8, 29eky9s3vfmjomuzwfwi1cmad, ez7xc7vakt4fmabtp61w72yju, bsx2ppp4b3zuxftscqwcxj59m, 142z7063thl0i1suzjq7kzr9x, bqg4zg2z0wyr0cc1v1xutifo5, c9bgfg99tu0cltgp036y27lgq, 6hg7vuwjkywi1c66zggzmj5jp, bz5stocchmjbtwzd35qd2be5m",4207960069,59,"1, 18, 12, 8, 40, 3, 21, 39, 14, 11, 5, 6, 7, 10, 17, 20, 29, 36, 38, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536964915,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0,0,2023-04-22T12:08:34.698Z,2023-04-22T12:08:35Z,4207982729,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4207982731,59,"1, 21, 30, 18, 4, 13, 20, 5, 40, 17, 7, 3, 9, 15, 19, 22, 25, 32, 34, 38",4207982727,30,"4qyy11gb9nepxkd3i7f9axh0q, b1sztx2xd79amygbbvdia24et, 7eo3ceto09y3x4j4gh9m91kvd, 8x51gbtkf78eskjolnedvoi51, 64wjz8rl45dql3qdc7ynk3ckq, 77zrjzfkfp7hozuj05ktwhtqt, chzhwdk4l54t2kf606bkuiaqd, 4mroygq2ruxkml5c5j4awwted, 5ib5990rsa8y9pf2bu4risjqh, q1o72uyrvclbkccpjvzugacq, 8cdx7aahcxg6be4qiwv9vq39w, leanv6m97ukx12n5aggvndud, 5leej1ji11foystzd1xj4q961, 5s647zr10m1nxt4xxpxkpgmw9, au1cbzehllmo4yyt6s0d16rkk, dyl8h9vm22myhbuuavsimnx05, 8vl4hue7ixvxh4dtner52sfrp, csye3q50ciculdiggvcefx8x6, bntdkaauxt1thtg6ukfs38g0k, 2v1tnyzorjyx7pyf3auj73ytw",4207982739,197,5162,4207982741,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207982733,130,4,4207982735,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207982737,194,chzhwdk4l54t2kf606bkuiaqd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537007257,2,32,1,0,0,4mo3tith28qu9za01e8siplsn,1,0,0,2023-04-22T13:01:08.332Z,2023-04-22T13:01:10Z,4208199999,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537007247,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0,0,2023-04-22T13:01:08.332Z,2023-04-23T09:00:50Z,4208199969,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537007281,3,1,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,50,50,2023-04-22T13:01:08.432Z,2023-04-22T14:02:16Z,4208200157,279,S,4208200153,212,5.1,4208200155,213,2.2,4208200147,56,Back,4208200149,140,47.1,4208200151,141,56.0,,,,,,,8x51gbtkf78eskjolnedvoi51,L. Sadiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537007315,4,1,1,0,3,2nnlsjfbcea40t4jeclcbw9lk,1,52.5,42.7,2023-04-22T13:01:11.676Z,2023-04-23T09:00:56Z,4208200367,212,23.6,4208200369,213,5.1,4208200363,140,61.0,4208200365,141,10.6,4208200361,56,Right,,,,,,,,,,chzhwdk4l54t2kf606bkuiaqd,N. Besara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537007355,5,1,1,0,8,2nnlsjfbcea40t4jeclcbw9lk,1,58.2,15.5,2023-04-22T13:01:16.653Z,2023-04-22T13:01:19Z,4208200619,140,41.3,4208200621,141,28.0,4208200617,56,Back,4208200625,213,2.7,4208200623,212,19.7,,,,,,,,,,b1sztx2xd79amygbbvdia24et,S. Strand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537007365,6,1,1,0,11,2nnlsjfbcea40t4jeclcbw9lk,1,39.9,27.7,2023-04-22T13:01:19.572Z,2023-04-22T13:01:21Z,4208200679,140,34.7,4208200683,212,26.6,4208200685,213,1.8,4208200681,141,66.0,4208200677,56,Back,,,,,,,,,,64wjz8rl45dql3qdc7ynk3ckq,E. Kurtulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537007423,7,1,1,0,12,2nnlsjfbcea40t4jeclcbw9lk,1,34.7,66,2023-04-22T13:01:21.037Z,2023-04-22T13:01:25Z,4208200955,140,45.1,4208200967,213,1.0,4208200953,56,Back,4208200959,141,92.7,4208200965,212,21.2,,,,,,,,,,77zrjzfkfp7hozuj05ktwhtqt,M. Fenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537007433,8,1,1,0,16,2nnlsjfbcea40t4jeclcbw9lk,0,43.4,95.1,2023-04-22T13:01:25.131Z,2023-04-22T13:01:27Z,4208201133,286,,4208201001,212,3.0,4208201127,236,,4208200995,56,Back,4208200993,155,,4208200999,141,96.0,4208201003,213,0.2,4208201129,233,3,7eo3ceto09y3x4j4gh9m91kvd,S. Pinas,4208200997,140,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
