id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2531133255,1,34,16,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0,0,2023-04-09T14:40:02.988Z,2023-04-09T15:30:07Z,4176932261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176932255,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176932249,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4176932247,30,"1xmg6k4n9a6zmhmq6ysq6tch6, 7yld2a7aw6d3lmmwpu1wovxsl, 96uzhuuez4q5pgxb566ryk53p, 7pel84swlqfux6obt6lznze1h, a97r48wblkhztm400rnvciok5, 23p0dby12ymf55wwi0xz2fnx1, 6051gs5j7d6zss35h2twoqnd, 6736te1pno19jo5i82obbns2d, b9tsqyrv0xp0tt5nzwrmy9gb9, 1m0qpbce7dob7mdbo7titbqp5, 4oxlpwcwpa44hstpm70iep0id, 6u3k1pcpowzvy9qrngb3j3a39, f3gxyvlnuwl9wglyroa6q2mll, 71ewtolv8guf3m6sh01pf1nmx, 5t5ib5l818gj98xrztrj0kbca, eybt8xfc15yw9kwnbvm64zend, 15mg49mqn215ce4ojukev0o2x, 5k7sf8hvml6cf6f29g9393v11, 7pk2vyumro8ku45aar5dw7dw4, 5xkkb1l7y84mwfjsytlqoep04",4176932253,130,4,4176932259,197,7880,4176932257,194,6736te1pno19jo5i82obbns2d,4176932251,59,"35, 2, 8, 6, 4, 3, 13, 7, 11, 16, 23, 9, 10, 14, 15, 17, 18, 19, 21, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531135131,1,34,16,0,0,4jg5vd59i24chckyua90dr1lg,1,0,0,2023-04-09T14:42:33.168Z,2023-04-09T15:34:42Z,4176942113,197,5798,4176942105,59,"30, 4, 21, 5, 2, 6, 20, 8, 28, 19, 14, 33, 7, 16, 18, 22, 23, 27, 31, 35",4176942111,194,9z8zmq5mh3nzaxtvpf5ox3snp,4176942115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176942101,30,"4mnn3qqpodu948yni3okjj7qh, 520dbk81emwb7u262qivg8wyd, cdlngd5oc988etq8dp8bh4s7p, 9sgtxk82p3wstmmncfw7n5fu2, 85jw7q58nuiekjl7snvmkjyp6, 9z8zmq5mh3nzaxtvpf5ox3snp, 21ht7s882is4sisnr8dpf61yi, bhaqw4112j43c753dlxhy61ud, 9nafz0c0x2qvmo5ldm0djmcq1, 546vmchsyl1wt10pr13r5oup6, 27a8ay3weff9zyxw7usa54cet, 9jrfung6r7y51st0ii7awa9ec, 94v0gyaccr498bwf5enqyhox6, gkyakbpfwhi9ura3y4zz0tuc, 3xrja99d4b0jewfjzelq4rspg, 72eskzopskdqlizss1nhznuqy, 7i8utv6wtfvi4cm30trc13f8p, 16yubrg729egk45a0g71aog7o, 7ckkvggtampx9s3nklr1u62vo, au9h3i90r6jzx2meizig72ve2",4176942109,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176942107,130,8,4176942103,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531160081,2,32,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0,0,2023-04-09T15:31:32.655Z,2023-04-09T15:31:32Z,4177068787,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531160089,2,32,1,0,0,4jg5vd59i24chckyua90dr1lg,1,0,0,2023-04-09T15:31:32.655Z,2023-04-09T15:31:35Z,4177068821,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531160123,3,1,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,50.3,50.1,2023-04-09T15:31:32.755Z,2023-04-09T15:31:36Z,4177068973,56,Back,4177068977,141,39.1,4177068979,212,20.4,4177068975,140,32.2,4177068983,279,S,4177068981,213,3.5,,,,,,,b9tsqyrv0xp0tt5nzwrmy9gb9,O. Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531160165,4,1,1,0,3,czkf5t3ai00ghwbga03i5aqxw,0,34.1,42.1,2023-04-09T15:31:36.028Z,2023-04-09T15:31:40Z,4177069211,56,Center,4177069219,213,0.6,4177069217,212,42.6,4177069213,140,67.7,4177069221,1,,4177069209,155,,4177069215,141,77.3,,,,a97r48wblkhztm400rnvciok5,J. Löfgren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531160179,3,44,1,0,6,4jg5vd59i24chckyua90dr1lg,1,30.4,15.6,2023-04-09T15:31:39.213Z,2023-04-09T15:31:41Z,4177069303,233,5,4177069275,56,Back,4177069277,285,,,,,,,,,,,,,,,,,520dbk81emwb7u262qivg8wyd,Kristopher Da Graca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531160169,5,44,1,0,6,czkf5t3ai00ghwbga03i5aqxw,0,69.6,84.4,2023-04-09T15:31:39.214Z,2023-04-09T15:31:42Z,4177069317,233,3,4177069241,286,,4177069239,56,Left,,,,,,,,,,,,,,,,4oxlpwcwpa44hstpm70iep0id,G. Wikheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531160187,4,1,1,0,7,4jg5vd59i24chckyua90dr1lg,0,28.4,8.6,2023-04-09T15:31:39.885Z,2023-04-09T16:21:24Z,4177069325,140,38.8,4177069323,56,Back,4177069331,213,1.0,4177069329,212,20.0,4177069321,3,,4177069327,141,33.3,,,,,,,520dbk81emwb7u262qivg8wyd,Kristopher Da Graca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531160197,6,43,1,0,9,czkf5t3ai00ghwbga03i5aqxw,1,0,0,2023-04-09T15:31:42.150Z,2023-04-09T15:32:08Z,4177070747,144,61,4177069385,56,Center,,,,,,,,,,,,,,,,,,,7pel84swlqfux6obt6lznze1h,R. Schüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
