id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,keyPass
2537920843,1,34,16,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0,0,2023-04-23T12:04:58.715Z,2023-04-23T12:56:51Z,4213075293,194,4k8cw1lmtdkcx1vetcwccnefp,4213075289,130,8,4213075283,30,"cnfkqyunacrm7mli650a3l3ze, 9z851x28so30uk7ihonmrk79x, 9ha2m6934ior2yh2npdorg4b9, 2vfhae70oyyzm0qttlckworqi, 5lu7bn7uec3zjqpoi1x81gbu1, aq0upomgtrmvzxuvvw0n4rf9w, 3ihcnb7xmqlsefg10xbdraqqd, 5por6xcmx2po85tvz9cy76m6t, 4k8cw1lmtdkcx1vetcwccnefp, a4de7kgp5ivhwckmtv5htu162, ci4crclo00uz8rtudodhpwoh5, ckwgkqxv6u28byqau4rz47efp, 4w0adddkbx4642lkebbcmxbzd, dptjb2pmzpzagb4rcndchf7ro, 1vla5l510mtb859zevvplneju, cyhahh7i66n9roydrquwo14pg, 1k2svnzs4woe6gpegqlrxjjf8, ee68c10l2nqr10kz1pwead0k4, 49ivimgxshcxfyf28o7frc02y, av9lz5umeimwlq7v4q4d7twr8",4213075295,197,7875,4213075287,59,"12, 2, 17, 21, 15, 3, 5, 7, 9, 8, 14, 6, 11, 16, 18, 22, 25, 27, 28, 30",4213075291,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213075297,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213075285,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537929849,1,34,16,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0,0,2023-04-23T12:12:06.499Z,2023-04-23T13:21:27Z,4213121737,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213121731,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213121723,30,"8adttli9ehdhi2216vpipzkr9, 7yld2a7aw6d3lmmwpu1wovxsl, 96uzhuuez4q5pgxb566ryk53p, 6736te1pno19jo5i82obbns2d, eybt8xfc15yw9kwnbvm64zend, 23p0dby12ymf55wwi0xz2fnx1, 5t5ib5l818gj98xrztrj0kbca, 6051gs5j7d6zss35h2twoqnd, 1m0qpbce7dob7mdbo7titbqp5, b9tsqyrv0xp0tt5nzwrmy9gb9, 4oxlpwcwpa44hstpm70iep0id, a97r48wblkhztm400rnvciok5, 6u3k1pcpowzvy9qrngb3j3a39, f3gxyvlnuwl9wglyroa6q2mll, 71ewtolv8guf3m6sh01pf1nmx, 15mg49mqn215ce4ojukev0o2x, 5k7sf8hvml6cf6f29g9393v11, 7pk2vyumro8ku45aar5dw7dw4, aw75jdzi3u012jkwj7t0eln2s, 5xkkb1l7y84mwfjsytlqoep04",4213121729,130,8,4213121735,197,5157,4213121725,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4213121727,59,"30, 2, 8, 7, 17, 3, 15, 13, 16, 11, 23, 4, 9, 10, 14, 18, 19, 21, 22, 40",4213121733,194,6736te1pno19jo5i82obbns2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537980761,2,32,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0,0,2023-04-23T13:03:17.588Z,2023-04-23T13:03:17Z,4213385737,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537980771,2,32,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0,0,2023-04-23T13:03:17.588Z,2023-04-25T13:43:34Z,4213385767,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537980847,3,1,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,50.2,50.3,2023-04-23T13:03:17.688Z,2023-04-23T13:13:27Z,4213386219,140,25.4,4213386225,213,2.9,4213386221,141,60.0,4213386227,279,S,4213386223,212,26.9,4213386217,56,Back,,,,,,,a4de7kgp5ivhwckmtv5htu162,E. Hagen,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537980953,4,1,1,0,4,evf5hhqgnjhwjsth1m6pawxdp,1,30.2,52.4,2023-04-23T13:03:22.256Z,2023-04-23T13:15:25Z,4213386833,1,,4213386829,212,63.0,4213386823,56,Right,4213386821,155,,4213386827,141,4.3,4213386825,140,81.5,4213386831,213,5.7,,,,aq0upomgtrmvzxuvvw0n4rf9w,J. Bångsbo,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538000051,72,61,1,0,5,evf5hhqgnjhwjsth1m6pawxdp,0,80.9,4.6,2023-04-23T13:03:23.137Z,2023-04-23T13:15:52Z,4213484379,56,Right,,,,,,,,,,,,,,,,,,,,,,3ihcnb7xmqlsefg10xbdraqqd,S. Ohlsson,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537980945,3,61,1,0,6,czkf5t3ai00ghwbga03i5aqxw,1,20.8,89.4,2023-04-23T13:03:23.952Z,2023-04-25T13:45:41Z,4213386791,56,Back,,,,,,,,,,,,,,,,,,,,,,96uzhuuez4q5pgxb566ryk53p,E. Andersson,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537980995,6,1,1,0,7,evf5hhqgnjhwjsth1m6pawxdp,0,87.1,14,2023-04-23T13:03:24.806Z,2023-04-23T13:20:41Z,4213387069,56,Center,4213387073,141,39.8,4213387071,140,87.8,4213387077,213,1.5,4213387075,212,17.6,,,,,,,,,,3ihcnb7xmqlsefg10xbdraqqd,S. Ohlsson,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537981049,4,12,1,0,8,czkf5t3ai00ghwbga03i5aqxw,1,11.4,69.6,2023-04-23T13:03:26.169Z,2023-04-23T13:20:42Z,4213387379,213,1.5,4213387373,140,12.7,4213387371,56,Back,4213387377,212,12.6,4213387375,141,88.0,,,,,,,,,,eybt8xfc15yw9kwnbvm64zend,Carlos Moros,,,,,,,,,,,,,,,,,,,,,,,,,,,
