id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2538809643,1,34,16,0,0,spvvjmk37iid7hsky9g3nce7,1,0,0,2023-04-24T16:09:42.615Z,2023-04-24T16:09:42Z,4217852387,197,7821,4217852375,30,"bomd9wl2cnqwck46ctwjqju1h, 23iwje6cgkgc05szzf2l5z97u, 1rkikvibo6lmhhtyfbg21jtp0, 5h6xr50d54zcxnktz7q58oa1h, as6coaak724tr7igyz1wwlfc9, 3vescyd2jf8wxx19q0kfedx0q, 93qjy2eilbuufwu2kbwpfng7p, akuyf0uf6ev1es1zjhs9fss89, dgxqp83lhb316dec1rpi5op62, bv57jiquzqjnzuxzw5r663aad, czfitwajt0sayki90i3fk5n85, 4cytj4f9uirlo8vb8mcsv6v6y, bm0bafkutd9qb9qee06cys9re, d58ji96mcnebbci6skc46x9uc, 80s55a7uw8kypoikefwhtdm5m, b2ki48qnm9uycjpme5g6envf9, cu4fx7oa7rkoeqcgr619puok5, 4kmd502s272vf5wgkx8hk4vl5, 9hg51o20uf6u2bjgshjax9soa, 12ha4y8olcyac71cvuvzs38k4",4217852379,59,"35, 14, 26, 24, 5, 29, 7, 3, 16, 11, 22, 1, 6, 8, 9, 10, 12, 15, 17, 18",4217852381,130,12,4217852385,194,czfitwajt0sayki90i3fk5n85,4217852377,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4217852389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4217852383,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538809747,1,34,16,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0,0,2023-04-24T16:09:55.909Z,2023-04-24T18:35:28Z,4217852927,59,"20, 3, 23, 13, 4, 26, 17, 15, 9, 7, 10, 2, 8, 19, 21, 24, 1",4217852935,197,5164,4217852925,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",4217852931,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4217852937,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4217852929,130,2,4217852933,194,sxahqo62pj3wu3yfeah4fiay,4217852923,30,"4ztjiy8n0724xy818ophfp4ic, 950x9v0qx1pqgkc67e6hnbpt6, e1ogqatdx34wgtmvvq28ft39x, 4w4fnup47fnga68td9bu83sut, sxahqo62pj3wu3yfeah4fiay, btkupfjt9isuywcwqcbl1pgid, d83agzjsghnwbm4mq9b3x8dbe, eq9x5pboy1dehdauroonsw3c9, 48ffxxjaqagvfy72i4qvuvdnt, 9vyizhfym4y8vc07xrvba7skq, 972sdfy32aqsh3liqmn6chnf9, 5gf24ds4ejjztxyj8b5rs3tnt, a50t6mmm9lljdt0b9vp1w7vu1, 472gtgjd61tmky6j73s10rkt0, bmj66ols6rtul44h9c6obmi95, c9qk8n9d4130okk9go1brzskq, 6slvqtdpllnwviwj0ykgw7xn8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538821247,2,32,1,0,0,ac8jow4mdkvnsv5s0och4qqm,1,0,0,2023-04-24T17:00:45.405Z,2023-04-24T17:00:45Z,4217919627,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538821249,2,32,1,0,0,spvvjmk37iid7hsky9g3nce7,1,0,0,2023-04-24T17:00:45.405Z,2023-04-24T17:00:46Z,4217919629,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538821271,3,1,1,0,10,spvvjmk37iid7hsky9g3nce7,1,49.9,49.9,2023-04-24T17:00:55.997Z,2023-04-24T17:00:58Z,4217919709,213,3.1,4217919705,141,51.0,4217919701,56,Back,4217919707,212,15.8,4217919703,140,34.9,,,,,,,,,,akuyf0uf6ev1es1zjhs9fss89,A. Brorsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538821275,4,1,1,0,13,spvvjmk37iid7hsky9g3nce7,1,35.7,48.1,2023-04-24T17:00:58.813Z,2023-04-24T17:00:59Z,4217919745,213,5.2,4217919741,141,22.2,4217919737,56,Back,4217919739,140,43.9,4217919743,212,19.6,,,,,,,,,,as6coaak724tr7igyz1wwlfc9,C. Rösler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538821291,5,1,1,0,14,spvvjmk37iid7hsky9g3nce7,1,42.3,20.6,2023-04-24T17:00:59.789Z,2023-04-24T17:03:18Z,4217919843,56,Center,4217919847,141,22.4,4217919851,213,0.1,4217919845,140,58.1,4217919849,212,16.6,,,,,,,,,,3vescyd2jf8wxx19q0kfedx0q,N. Eile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538821309,6,1,1,0,21,spvvjmk37iid7hsky9g3nce7,1,59.6,20.3,2023-04-24T17:01:06.508Z,2023-04-24T17:02:10Z,4217919913,212,16.3,4217919907,56,Back,4217919909,140,44.1,4217921573,156,,4217919911,141,20.4,4217919915,213,3.1,,,,,,,93qjy2eilbuufwu2kbwpfng7p,V. Gustafson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538821315,7,1,1,0,24,spvvjmk37iid7hsky9g3nce7,1,44.6,15.5,2023-04-24T17:01:09.741Z,2023-04-24T17:03:14Z,4217919953,212,20.3,4217919951,141,41.2,4217919947,56,Back,4217919955,213,2.1,4217919949,140,34.8,,,,,,,,,,3vescyd2jf8wxx19q0kfedx0q,N. Eile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538821317,8,1,1,0,25,spvvjmk37iid7hsky9g3nce7,1,44.4,54.4,2023-04-24T17:01:10.637Z,2023-04-24T17:04:36Z,4217919959,56,Back,4217919963,141,33.8,4217919965,212,14.3,4217919961,140,46.9,4217919967,213,4.9,,,,,,,,,,as6coaak724tr7igyz1wwlfc9,C. Rösler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
