id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2541569339,1,34,16,0,0,93ohqui2qgqm8408viwmm1ken,1,0,0,2023-04-30T12:09:31.196Z,2023-04-30T13:14:05Z,4239441777,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4239441773,194,62w849kqrnjm00xr12suencgl,4239441763,30,"2e1hb1s2jhbpag0wk814qgqmt, 5ocn8a1on2u9o9giyulgqtvxl, carpl05zgalgbsd6gnk3akc89, elwm97xvha0y0t8yqx5sur9ck, 9mjzy2s8qv0a5qw9pyhs112ol, 7ujr3n286xjhtwsrckvkbldxx, 144jdrezcfwd4uh3sk7zhtizu, 2e1l4p2kxtk1hd4yeuetyua51, 90eoelhr2oxpg3ejr2whwwu6t, 62w849kqrnjm00xr12suencgl, a19tsu5agpdwugg5fsijzzxsl, 7iv79dtpsplpjl1jxod3swmlm, aa6awfy4ioanjg9raw55t072t, duhvdeeqlyxgt2qve8fjgrpat, 70uwtz6q782qjf2mqpdlqpbkl, 5occq5bmrhcs8rtxwsdi18bf9, dvi2tleym136aqpvwfi4lustm, 1meafg8cs0tnmmm6ep0563alm, 7hugqbtot3c8fmxtfqld9l15g, 91lauo7abmec10l3btcxt3d3o",4239441767,59,"27, 15, 25, 31, 24, 19, 11, 8, 9, 10, 21, 1, 5, 6, 13, 20, 22, 36, 38, 35",4239441769,130,8,4239441765,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4239441771,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4239441775,197,2216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541570135,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0,0,2023-04-30T12:10:14.364Z,2023-05-01T13:31:34Z,4239445569,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4239445563,59,"1, 21, 30, 18, 4, 13, 17, 5, 40, 15, 7, 3, 9, 19, 20, 25, 32, 33, 34, 38",4239445559,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4239445573,197,15658,4239445575,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4239445555,30,"4qyy11gb9nepxkd3i7f9axh0q, b1sztx2xd79amygbbvdia24et, 7eo3ceto09y3x4j4gh9m91kvd, 8x51gbtkf78eskjolnedvoi51, 64wjz8rl45dql3qdc7ynk3ckq, 77zrjzfkfp7hozuj05ktwhtqt, q1o72uyrvclbkccpjvzugacq, 4mroygq2ruxkml5c5j4awwted, 5ib5990rsa8y9pf2bu4risjqh, 5s647zr10m1nxt4xxpxkpgmw9, 8cdx7aahcxg6be4qiwv9vq39w, leanv6m97ukx12n5aggvndud, 5leej1ji11foystzd1xj4q961, au1cbzehllmo4yyt6s0d16rkk, chzhwdk4l54t2kf606bkuiaqd, 8vl4hue7ixvxh4dtner52sfrp, csye3q50ciculdiggvcefx8x6, 8erbr3ewwl0o6ib0q4r7tmp9m, bntdkaauxt1thtg6ukfs38g0k, 2v1tnyzorjyx7pyf3auj73ytw",4239445571,194,64wjz8rl45dql3qdc7ynk3ckq,4239445565,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541619935,2,32,1,0,0,93ohqui2qgqm8408viwmm1ken,1,0,0,2023-04-30T13:06:16.050Z,2023-05-01T10:56:46Z,4239699829,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541619887,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0,0,2023-04-30T13:06:16.050Z,2023-04-30T13:06:16Z,4239699549,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541619983,3,1,1,0,0,93ohqui2qgqm8408viwmm1ken,1,49.9,50.1,2023-04-30T13:06:16.150Z,2023-04-30T15:05:29Z,4239700055,212,3.7,4240375797,278,,4239700059,279,S,4239700051,140,46.7,4239700057,213,3.6,4239700053,141,47.9,4239700049,56,Back,,,,90eoelhr2oxpg3ejr2whwwu6t,I. Kiese Thelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541620023,4,1,1,0,3,93ohqui2qgqm8408viwmm1ken,1,47.3,58.1,2023-04-30T13:06:19.695Z,2023-05-01T11:07:19Z,4239700275,212,14.2,4239700269,56,Back,4239700273,141,77.9,4239700277,213,1.9,4239700271,140,43.0,,,,,,,,,,62w849kqrnjm00xr12suencgl,A. Christiansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541620071,5,1,1,0,5,93ohqui2qgqm8408viwmm1ken,1,40.9,84.4,2023-04-30T13:06:21.607Z,2023-04-30T13:06:23Z,4239700535,212,12.8,4239700531,140,38.8,4239700537,213,4.5,4239700529,56,Back,4239700533,141,65.8,,,,,,,,,,carpl05zgalgbsd6gnk3akc89,Busanello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541620127,6,1,1,0,7,93ohqui2qgqm8408viwmm1ken,1,38.9,65.7,2023-04-30T13:06:23.415Z,2023-04-30T13:06:25Z,4239700803,140,36.4,4239700809,213,4.6,4239700807,212,17.9,4239700805,141,39.7,4239700801,56,Back,,,,,,,,,,elwm97xvha0y0t8yqx5sur9ck,H. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541620163,7,1,1,0,9,93ohqui2qgqm8408viwmm1ken,1,37.1,40.7,2023-04-30T13:06:25.263Z,2023-04-30T13:06:27Z,4239700975,141,67.9,4239700977,212,19.2,4239700971,56,Back,4239700979,213,1.3,4239700973,140,41.9,,,,,,,,,,2e1l4p2kxtk1hd4yeuetyua51,S. Peña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541620195,8,1,1,0,10,93ohqui2qgqm8408viwmm1ken,1,43,71.1,2023-04-30T13:06:26.879Z,2023-04-30T13:06:28Z,4239701199,213,1.0,4239701191,56,Left,4239701197,212,18.5,4239701193,140,52.1,4239701195,141,94.4,,,,,,,,,,elwm97xvha0y0t8yqx5sur9ck,H. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
