id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value
2527592535,1,34,16,0,0,durq4oppf7c08tnbzrlebt0uz,1,0,0,2023-04-02T14:37:39.771Z,2023-04-02T15:41:45Z,4158169881,59,"30, 19, 3, 24, 25, 5, 6, 9, 8, 10, 18, 1, 4, 11, 14, 16, 20, 21, 23, 32",4158169887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158169885,130,12,4158169873,30,"82h0pn6m1ma6jzh5fefmdpjo5, 7t6lyj5pvvgzfscj775acuqc5, 9jszz4regvdvl0v4i8s41jbah, 8ebx705t6jvq53z6tjk0ke1d6, 9s3boszvqn3fzsx0r1xswqyqy, 4w8yuib6lrya8ucle0j9maxka, 37ugegawhu80qktxkp12mwoa1, 2rvopmj69lbwtn0eevmn8cn9x, cx25wp1s7ql07ga2yu1975ka1, 30117qloj2vhnxq4djfktp7u1, 6vy0wrnn1jz4tjp9ofxr9qesq, 4ilvnv8fsq1smurtjl81od7th, 2s011oynto4q5ta4nwws4spn9, cpamr0c0qq5lf5u6de1cbvgx6, 5gzobg231vp6fnjrrh6k49qz9, 7uqexxe985u3bbx5lxx2vgand, 2e1j4tbrlrgqvm7io0hfu7is5, 2pabub1t3k8v88ue8y7w3vpat, 41xf6dhrc8dswej7g9ap4xy0a, 9eaa74frc7sjli4e48cey3r4k",4158169893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158169889,194,2rvopmj69lbwtn0eevmn8cn9x,4158169891,197,15124,4158169877,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527592669,1,34,16,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0,0,2023-04-02T14:37:47.183Z,2023-04-02T15:30:04Z,4158170629,197,5169,4158170617,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4158170613,30,"cnfkqyunacrm7mli650a3l3ze, 9z851x28so30uk7ihonmrk79x, 9ha2m6934ior2yh2npdorg4b9, a4de7kgp5ivhwckmtv5htu162, 5lu7bn7uec3zjqpoi1x81gbu1, aq0upomgtrmvzxuvvw0n4rf9w, 3ihcnb7xmqlsefg10xbdraqqd, 2erjnb3l5mngpxyicnzhk7phx, ci4crclo00uz8rtudodhpwoh5, 4k8cw1lmtdkcx1vetcwccnefp, 4w0adddkbx4642lkebbcmxbzd, 5por6xcmx2po85tvz9cy76m6t, 3zuutaowhz53ivr0i5sg5y8t0, 1vla5l510mtb859zevvplneju, 45rssbwxy4kmge5ff85dm7bop, 2vfhae70oyyzm0qttlckworqi, cyhahh7i66n9roydrquwo14pg, 1k2svnzs4woe6gpegqlrxjjf8, ee68c10l2nqr10kz1pwead0k4, av9lz5umeimwlq7v4q4d7twr8",4158170621,130,2,4158170627,194,4k8cw1lmtdkcx1vetcwccnefp,4158170619,59,"12, 2, 17, 8, 15, 3, 5, 13, 14, 9, 11, 7, 10, 18, 20, 21, 22, 25, 27, 30",4158170623,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158170631,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527639397,2,32,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,0,0,2023-04-02T15:32:17.917Z,2023-04-02T15:32:18Z,4158417103,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527639381,3,32,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0,0,2023-04-02T15:32:17.917Z,2023-04-02T15:32:18Z,4158417025,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527639453,3,1,1,0,0,durq4oppf7c08tnbzrlebt0uz,1,49.9,49.9,2023-04-02T15:32:18.017Z,2023-04-02T15:32:22Z,4158417417,56,Back,4158417419,140,29.1,4158417427,279,S,4158417421,141,38.3,4158417425,213,3.5,4158417423,212,23.2,,,,,,,30117qloj2vhnxq4djfktp7u1,A. Zeljkovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527639507,4,1,1,0,4,durq4oppf7c08tnbzrlebt0uz,1,29,40.6,2023-04-02T15:32:22.336Z,2023-04-02T15:32:25Z,4158417739,141,64.3,4158417741,212,16.2,4158417735,56,Back,4158417743,213,1.5,4158417737,140,30.2,,,,,,,,,,9s3boszvqn3fzsx0r1xswqyqy,V. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527639523,5,1,1,0,7,durq4oppf7c08tnbzrlebt0uz,1,30.3,67.8,2023-04-02T15:32:25.168Z,2023-04-02T15:32:26Z,4158417843,56,Back,4158417845,140,39.2,4158417851,213,6.1,4158417849,212,9.6,4158417847,141,64.8,,,,,,,,,,8ebx705t6jvq53z6tjk0ke1d6,E. Grozdanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527639541,6,1,1,0,8,durq4oppf7c08tnbzrlebt0uz,1,39.2,64.8,2023-04-02T15:32:26.409Z,2023-04-02T15:32:27Z,4158417957,212,16.8,4158417951,56,Back,4158417953,140,25.5,4158417955,141,51.9,4158417959,213,3.7,,,,,,,,,,6vy0wrnn1jz4tjp9ofxr9qesq,Wenderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527639561,7,1,1,0,9,durq4oppf7c08tnbzrlebt0uz,1,25.5,51.9,2023-04-02T15:32:27.303Z,2023-04-02T15:32:29Z,4158418085,56,Back,4158418087,140,33.6,4158418091,212,8.6,4158418093,213,6.1,4158418089,141,50.1,,,,,,,,,,9s3boszvqn3fzsx0r1xswqyqy,V. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527639627,8,1,1,0,11,durq4oppf7c08tnbzrlebt0uz,1,33.6,50.1,2023-04-02T15:32:28.928Z,2023-04-02T15:39:51Z,4158457781,156,,4158418471,212,12.1,4158418465,56,Back,4158418467,140,30.9,4158418469,141,32.8,4158418473,213,4.5,,,,,,,37ugegawhu80qktxkp12mwoa1,H. Näsström,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527639675,9,1,1,0,15,durq4oppf7c08tnbzrlebt0uz,0,28,22.4,2023-04-02T15:32:33.856Z,2023-04-02T15:32:36Z,4158418789,56,Center,4158418793,141,27.7,4158418787,155,,4158418795,212,58.9,4158418799,1,,4158418797,213,0.1,4158418791,140,84.0,,,,4w8yuib6lrya8ucle0j9maxka,V. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527639661,4,49,1,0,17,evf5hhqgnjhwjsth1m6pawxdp,1,13.9,72.1,2023-04-02T15:32:35.594Z,2023-04-02T15:32:35Z,,,,,,,,,,,,,,,,,,,,,,,,,aq0upomgtrmvzxuvvw0n4rf9w,J. Bångsbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527639731,5,1,1,0,18,evf5hhqgnjhwjsth1m6pawxdp,1,13.9,72.1,2023-04-02T15:32:35.986Z,2023-04-02T15:32:39Z,4158419097,213,4.1,4158419091,140,2.6,4158419095,212,19.5,4158419089,56,Back,4158419093,141,49.3,,,,,,,,,,aq0upomgtrmvzxuvvw0n4rf9w,J. Bångsbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527639757,6,1,1,0,21,evf5hhqgnjhwjsth1m6pawxdp,1,2.6,49.3,2023-04-02T15:32:39.179Z,2023-04-02T15:40:11Z,4158419247,213,0.3,4158419235,140,30.0,4158419241,141,61.4,4158419231,56,Back,4158419245,212,29.9,,,,,,,,,,cnfkqyunacrm7mli650a3l3ze,A. Benediktsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527639797,7,61,1,0,22,evf5hhqgnjhwjsth1m6pawxdp,1,30,61.4,2023-04-02T15:32:40.594Z,2023-04-02T15:40:38Z,4158419451,56,Back,,,,,,,,,,,,,,,,,,,,,,a4de7kgp5ivhwckmtv5htu162,E. Hagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527639839,8,1,1,0,24,evf5hhqgnjhwjsth1m6pawxdp,1,31.9,76.6,2023-04-02T15:32:42.715Z,2023-04-02T15:32:44Z,4158419683,56,Back,4158419685,140,32.1,4158419687,141,97.4,4158419681,3,,4158419691,213,1.6,4158419689,212,14.1,,,,,,,2erjnb3l5mngpxyicnzhk7phx,G. Svensson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527639889,9,1,1,0,26,evf5hhqgnjhwjsth1m6pawxdp,0,32.1,97.4,2023-04-02T15:32:44.722Z,2023-04-02T15:41:18Z,4158419929,213,6.2,4158465411,155,,4158419917,56,Left,4158419925,141,90.2,4158419931,1,,4158419921,140,73.7,4158419927,212,44.0,,,,9ha2m6934ior2yh2npdorg4b9,O. Wendt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527639917,10,49,1,0,30,durq4oppf7c08tnbzrlebt0uz,1,22.9,8.8,2023-04-02T15:32:48.713Z,2023-04-02T15:32:49Z,,,,,,,,,,,,,,,,,,,,,,,,,9s3boszvqn3fzsx0r1xswqyqy,V. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
