id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/17/value,qualifier/14/value
2543022619,1,34,16,0,0,bqtquhot4yruw677rkc607lk6,1,0,0,2023-05-03T16:09:22.153Z,2023-05-03T17:16:21Z,4247207883,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4247207889,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4247207895,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247207881,30,"cj7aybqox4kzoicnzea7b64t1, ah01wimesmr2z3ngqdeme6k15, 7e6fwgkn6qykqzldw1i1e4bf9, a0dcnofzjvroty4idvyxfaggl, 4r8xqhcqxugg2wk1g2n4x1at, cq3y184r3wicnhyzbfr2slv4l, cm6h40v4lws2jjbslwjjlvd1x, 9469qatlpe6rdqko8c6ha4out, 91suopiz6irxqevhzv8lx76ne, b6uj13lah92mxcmbs45ujr9p1, 3aoh34sqan7y34c2qa1d6xkyy, lh30ckelpek3u7jbzotxuvze, ersburboye1ic6pxc36ytm4et, 8aj9c2doiu9g4hd573mq0mms5, 51ueifp5nxythezmo0e7jiwwk, 4naiwvedctzccxar76woznfqi, 28237r26dj8uck2dsnecsrlnu, 78ev8z8b1houtb722o2f9okwl, bi8ahffozsvj2jwiakg7lidjo",4247207893,197,5894,4247207891,194,cj7aybqox4kzoicnzea7b64t1,4247207887,130,4,4247207885,59,"1, 2, 3, 29, 39, 6, 21, 22, 9, 11, 14, 13, 19, 23, 25, 26, 28, 30, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543025583,1,34,16,0,0,4jg5vd59i24chckyua90dr1lg,1,0,0,2023-05-03T16:14:25.670Z,2023-05-03T16:59:02Z,4247224537,59,"30, 14, 21, 8, 13, 6, 22, 19, 28, 5, 7, 16, 18, 20, 23, 27, 31, 33, 35, 36",4247224543,194,9z8zmq5mh3nzaxtvpf5ox3snp,4247224535,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4247224541,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247224533,30,"4mnn3qqpodu948yni3okjj7qh, 27a8ay3weff9zyxw7usa54cet, cdlngd5oc988etq8dp8bh4s7p, bhaqw4112j43c753dlxhy61ud, dcewpavwmjbplo5fahrzfxega, 9z8zmq5mh3nzaxtvpf5ox3snp, 72eskzopskdqlizss1nhznuqy, 546vmchsyl1wt10pr13r5oup6, 9nafz0c0x2qvmo5ldm0djmcq1, 9sgtxk82p3wstmmncfw7n5fu2, 94v0gyaccr498bwf5enqyhox6, gkyakbpfwhi9ura3y4zz0tuc, 3xrja99d4b0jewfjzelq4rspg, 21ht7s882is4sisnr8dpf61yi, 7i8utv6wtfvi4cm30trc13f8p, 16yubrg729egk45a0g71aog7o, 7ckkvggtampx9s3nklr1u62vo, 9jrfung6r7y51st0ii7awa9ec, au9h3i90r6jzx2meizig72ve2, es8z1xh8vhhtrjs8jrfbrqrro",4247224547,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247224539,130,5,4247224545,197,5798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543048999,2,32,1,0,0,4jg5vd59i24chckyua90dr1lg,1,0,0,2023-05-03T17:00:38.179Z,2023-05-03T17:00:38Z,4247355941,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049005,2,32,1,0,0,bqtquhot4yruw677rkc607lk6,1,0,0,2023-05-03T17:00:38.179Z,2023-05-04T09:37:23Z,4247355961,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049017,3,1,1,0,0,bqtquhot4yruw677rkc607lk6,1,50.3,50.1,2023-05-03T17:00:38.279Z,2023-05-04T15:59:30Z,4247356023,212,12.5,4247356017,56,Back,4247356021,141,57.1,4247356025,213,2.8,4247356019,140,39.3,4247356027,279,S,,,,,,,91suopiz6irxqevhzv8lx76ne,M. Rajović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049035,4,1,1,0,2,bqtquhot4yruw677rkc607lk6,1,39.6,59.4,2023-05-03T17:00:40.879Z,2023-05-04T15:59:59Z,4247356075,56,Back,4247356077,140,28.1,4247356081,212,17.0,4247356079,141,41.9,4247356083,213,3.9,,,,,,,,,,b6uj13lah92mxcmbs45ujr9p1,S. Skrabb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049049,5,1,1,0,4,bqtquhot4yruw677rkc607lk6,1,27.2,41.7,2023-05-03T17:00:42.703Z,2023-05-04T16:00:37Z,4247356175,56,Back,4247356177,140,30.5,4247356181,212,10.8,4247356179,141,26.6,4247356183,213,5.0,,,,,,,,,,cq3y184r3wicnhyzbfr2slv4l,R. Sjöstedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049061,6,1,1,0,6,bqtquhot4yruw677rkc607lk6,1,33.8,26.4,2023-05-03T17:00:44.640Z,2023-05-04T09:40:14Z,4247356237,212,15.5,4247356235,141,40.8,4247356231,56,Back,4247356233,140,22.4,4247356239,213,2.5,,,,,,,,,,4r8xqhcqxugg2wk1g2n4x1at,L. Sætra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049075,7,1,1,0,8,bqtquhot4yruw677rkc607lk6,1,22.6,46,2023-05-03T17:00:46.319Z,2023-05-04T16:00:17Z,4247356297,56,Back,4247356303,212,13.4,4247356301,141,65.1,4247356305,213,1.8,4247356299,140,19.4,,,,,,,,,,cq3y184r3wicnhyzbfr2slv4l,R. Sjöstedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049093,8,1,1,0,10,bqtquhot4yruw677rkc607lk6,1,16.5,69.7,2023-05-03T17:00:48.560Z,2023-05-04T16:00:29Z,4247356395,213,1.0,4247356387,56,Back,4247356391,141,95.8,4247356389,140,26.4,4247356393,212,20.6,,,,,,,,,,7e6fwgkn6qykqzldw1i1e4bf9,D. Ólafsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049125,9,1,1,0,11,bqtquhot4yruw677rkc607lk6,1,30.1,93.6,2023-05-03T17:00:49.935Z,2023-05-04T09:40:38Z,4247356543,56,Back,4247356549,212,15.1,4247356547,141,72.6,4247356545,140,25.4,4247356551,213,4.4,,,,,,,,,,9469qatlpe6rdqko8c6ha4out,N. Girmai Netabay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049129,10,1,1,0,16,bqtquhot4yruw677rkc607lk6,0,24.5,76.1,2023-05-03T17:00:54.400Z,2023-05-04T16:00:57Z,4247356583,141,93.0,4247356589,1,,4247356587,213,0.3,4247356585,212,41.7,4247356581,140,62.7,4247356579,56,Left,,,,,,,b6uj13lah92mxcmbs45ujr9p1,S. Skrabb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049139,3,49,1,0,18,4jg5vd59i24chckyua90dr1lg,1,14,4.9,2023-05-03T17:00:56.513Z,2023-05-03T17:00:56Z,,,,,,,,,,,,,,,,,,,,,,,,,dcewpavwmjbplo5fahrzfxega,J. Voelkerling Persson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049157,4,50,1,0,21,4jg5vd59i24chckyua90dr1lg,1,5.3,11.6,2023-05-03T17:00:59.999Z,2023-05-03T17:01:01Z,4247356751,56,Back,4247356753,285,,4247356861,233,11,,,,,,,,,,,,,,,,dcewpavwmjbplo5fahrzfxega,J. Voelkerling Persson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049175,11,7,1,0,21,bqtquhot4yruw677rkc607lk6,1,94.7,88.4,2023-05-03T17:01:00Z,2023-05-04T09:41:23Z,4247356819,286,,4249171597,383,,4247356849,233,4,4247356817,56,Left,,,,,,,,,,,,,3aoh34sqan7y34c2qa1d6xkyy,N. Shamoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543051389,55,61,1,0,22,bqtquhot4yruw677rkc607lk6,0,96.6,92.5,2023-05-03T17:01:00.952Z,2023-05-03T17:05:33Z,4247369525,56,Left,,,,,,,,,,,,,,,,,,,,,,3aoh34sqan7y34c2qa1d6xkyy,N. Shamoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049229,5,1,1,0,24,4jg5vd59i24chckyua90dr1lg,1,5.1,2.5,2023-05-03T17:01:03.119Z,2023-05-04T16:01:44Z,4247357157,212,39.6,4247357155,141,16.5,4247357161,1,,4247372045,155,,4247357151,56,Back,4247357153,140,41.7,4247357159,213,0.2,,,,dcewpavwmjbplo5fahrzfxega,J. Voelkerling Persson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049243,6,4,1,0,30,4jg5vd59i24chckyua90dr1lg,1,41.6,21.3,2023-05-03T17:01:08.494Z,2023-05-04T09:43:18Z,4247357239,56,Back,4247357243,286,,4247357235,13,,4247357295,233,12,4247357241,152,,4249176153,265,,,,,,,,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049251,12,4,1,0,30,bqtquhot4yruw677rkc607lk6,0,58.4,78.7,2023-05-03T17:01:08.495Z,2023-05-04T09:43:30Z,4247357269,13,,4249176049,265,,4247357273,56,Center,4247357275,152,,4247357307,233,6,4247357277,285,,,,,,,,cq3y184r3wicnhyzbfr2slv4l,R. Sjöstedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049399,7,1,1,0,47,4jg5vd59i24chckyua90dr1lg,1,43.5,29.1,2023-05-03T17:01:25.391Z,2023-05-04T16:02:12Z,4247358095,212,26.9,4247358097,213,2.3,4247358089,56,Back,4247358087,152,,4247358091,140,27.3,4247358085,5,,4247358093,141,59.7,,,,bhaqw4112j43c753dlxhy61ud,D. Stensson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049429,8,1,1,0,50,4jg5vd59i24chckyua90dr1lg,1,23.2,66,2023-05-03T17:01:28.511Z,2023-05-04T09:44:16Z,4247358233,56,Back,4247358241,213,1.1,4247358239,212,18.4,4247358237,141,90.3,4247358235,140,31.0,,,,,,,,,,9z8zmq5mh3nzaxtvpf5ox3snp,M. Mathisen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049503,9,1,1,0,53,4jg5vd59i24chckyua90dr1lg,0,34.6,95.6,2023-05-03T17:01:31.263Z,2023-05-04T09:53:09Z,4247358659,155,,4247358665,141,94.2,4247358667,212,60.0,4247358671,1,,4247358661,56,Left,4247358669,213,6.3,4247358663,140,91.7,,,,cdlngd5oc988etq8dp8bh4s7p,D. Widgren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543049517,13,12,1,0,57,bqtquhot4yruw677rkc607lk6,1,6.5,14.1,2023-05-03T17:01:36.104Z,2023-05-04T09:45:57Z,4247358721,56,Back,4247380775,141,9.5,4247380777,212,3.5,4247380779,213,4.2,4247380773,140,5.0,,,,,,,,,,4r8xqhcqxugg2wk1g2n4x1at,L. Sætra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
