id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2543543021,1,34,16,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0,0,2023-05-04T16:03:51.706Z,2023-05-04T16:03:51Z,4250024581,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4250024577,194,4k8cw1lmtdkcx1vetcwccnefp,4250024579,197,5169,4250024571,59,"12, 2, 17, 21, 13, 3, 5, 7, 9, 8, 14, 1, 6, 11, 15, 16, 18, 20, 27, 28",4250024575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4250024569,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4250024567,30,"cnfkqyunacrm7mli650a3l3ze, 9z851x28so30uk7ihonmrk79x, 9ha2m6934ior2yh2npdorg4b9, 2vfhae70oyyzm0qttlckworqi, 2erjnb3l5mngpxyicnzhk7phx, aq0upomgtrmvzxuvvw0n4rf9w, 3ihcnb7xmqlsefg10xbdraqqd, 5por6xcmx2po85tvz9cy76m6t, 4k8cw1lmtdkcx1vetcwccnefp, a4de7kgp5ivhwckmtv5htu162, ci4crclo00uz8rtudodhpwoh5, b6xqk78ndtb9qmjtlavgj02qx, ckwgkqxv6u28byqau4rz47efp, 4w0adddkbx4642lkebbcmxbzd, 5lu7bn7uec3zjqpoi1x81gbu1, dptjb2pmzpzagb4rcndchf7ro, 1vla5l510mtb859zevvplneju, 45rssbwxy4kmge5ff85dm7bop, ee68c10l2nqr10kz1pwead0k4, 49ivimgxshcxfyf28o7frc02y",4250024573,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543545251,1,34,16,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0,0,2023-05-04T16:08:33.163Z,2023-05-04T17:00:21Z,4250037067,130,17,4250037069,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4250037065,59,"1, 20, 5, 3, 15, 6, 47, 11, 10, 22, 8, 4, 9, 12, 14, 18, 21, 23, 24, 25",4250037061,30,"nchbnx9d19b7p899usbyfr2t, eekz2ott1frktykurkd5tmy2, 613kkjtvfyf7mbvrqt9pcizmd, 6co35kabo4cg0o796clfc9z6y, 2iq4fns3hb778wgkmsa2c9zze, c8rh8b925j9iq99ri9z4jqfx0, bd52544djk7t61roc813rewdm, 9ajfpzjfipsub15tats3mo2j9, au1328z9bxkwrtv9y2dczkwk5, 2nduymuxduqebf1wyf0bjxgtm, 991l8wbi9cfhm2pmyid7cle22, 6vil8gpscw3z5hpoynir9i295, 3j10i32az64qfnkrjuiz2n4t0, ec6qqle54cq9gck2jhnbpjzs9, 6ynddvrfay02kkirltpn68s4q, bs0mkqzsgcrk6tswsxj5a83c9, 7dkzh4tqb9wrcw8gkx5k1x9t5, 46ups8z9vhv73u0op2ld07wus, 1g8gjxlf08emzsdd4ww6zkydw, 52d84j3zno9y0po641urvjmqd",4250037075,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4250037071,194,9ajfpzjfipsub15tats3mo2j9,4250037063,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4250037073,197,10418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560435,2,32,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0,0,2023-05-04T17:00:33.602Z,2023-05-05T09:34:43Z,4250122291,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560431,2,32,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,0,0,2023-05-04T17:00:33.602Z,2023-05-04T17:00:33Z,4250122277,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560451,3,1,1,0,0,46yo78zak2j7kaxc5ak1fnm60,1,50.2,49.9,2023-05-04T17:00:33.702Z,2023-05-04T17:00:39Z,4250122391,140,26.3,4250122395,212,27.4,4250122397,213,2.7,4250122399,279,S,4250122389,56,Back,4250122393,141,66.1,,,,,,,au1328z9bxkwrtv9y2dczkwk5,D. Vukojević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560457,4,1,1,0,6,46yo78zak2j7kaxc5ak1fnm60,0,27,72.6,2023-05-04T17:00:39.604Z,2023-05-04T17:00:40Z,4250122423,212,49.9,4250122419,140,61.9,4250122417,56,Center,4250122415,155,,4250122427,1,,4250122425,213,5.5,4250122421,141,22.8,,,,6co35kabo4cg0o796clfc9z6y,K. Mammar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560459,3,1,1,0,7,evf5hhqgnjhwjsth1m6pawxdp,0,32.3,79.9,2023-05-04T17:00:41.030Z,2023-05-04T17:00:41Z,4250122433,56,Back,4250122439,212,21.9,4250122437,141,58.2,4250122435,140,47.7,4250122431,3,,4250122441,213,5.5,,,,,,,ci4crclo00uz8rtudodhpwoh5,G. Norlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560471,5,1,1,0,9,46yo78zak2j7kaxc5ak1fnm60,1,53.7,43.7,2023-05-04T17:00:43.044Z,2023-05-05T10:01:01Z,4250122491,213,4.0,4250122483,140,45.2,4250122485,141,29.3,4250122481,56,Back,4250122489,212,13.2,,,,,,,,,,9ajfpzjfipsub15tats3mo2j9,C. Gravius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560477,6,1,1,0,11,46yo78zak2j7kaxc5ak1fnm60,1,34.1,22.8,2023-05-04T17:00:44.804Z,2023-05-04T17:00:48Z,4250122535,213,2.2,4250122533,212,16.4,4250122531,141,42.2,4250122529,140,24.8,4250122527,56,Back,,,,,,,,,,c8rh8b925j9iq99ri9z4jqfx0,O. Wallin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543560485,7,1,1,0,14,46yo78zak2j7kaxc5ak1fnm60,1,32.2,41.9,2023-05-04T17:00:48.291Z,2023-05-04T17:00:50Z,4250122583,56,Back,4250122585,140,33.8,4250122589,212,19.6,4250122587,141,13.2,4250122591,213,4.8,,,,,,,,,,2iq4fns3hb778wgkmsa2c9zze,S. Korač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
