id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/12/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,assist
2534485211,1,34,16,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0,0,2023-04-16T12:08:45.935Z,2023-04-16T13:16:07Z,4194834917,59,"15, 32, 25, 6, 5, 4, 17, 14, 47, 8, 16, 7, 9, 12, 10, 23, 24, 43, 21, 45",4194834921,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194834927,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194834925,197,5149,4194834913,30,"a0vo94v0vvnojrnvvscd7zp3p, 35s5mefte5hagf4wjv96u9756, 8uvq88srclwb1303aev72iz8p, 67fpbhmyalc9zlkqts4mwafh1, e3ked0g7shh0wf1owzzv5bkl, cwkz9uxtres4bockr3spd4hxx, 5lg03j9iuxh9pm63esegw20vd, 5q20jb98g7acxc4ixvuhspwtm, 6utvjndbc0etrvdrul1oajdp0, dwq0cjzdbt6dvc81bq316c2cp, 5verheyzkwkwrmn3k10t7tz6y, 8lrsefp53ez5jm3hd5fy8tck5, 5dxrx40pty4wtwdrd341p0aju, reelt18o0lhvy8vl8h33glpl, cn1fq06cx1kaj0zbs98vjskb9, 46cpb4wc30lcdjh6241bd29cl, 3nipgtf7tus4mlg3pstg8ou1g, 3hz7fbme9sm4xkj5fo3moeluc, 85newb6fychx1mdekljme7isp, b5efwfrqbzdfknrjq3agklvdg",4194834915,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4194834919,130,16,4194834923,194,e3ked0g7shh0wf1owzzv5bkl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534489893,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0,0,2023-04-16T12:12:47.001Z,2023-04-16T13:15:28Z,4194858179,130,8,4194858175,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4194858173,30,"4qyy11gb9nepxkd3i7f9axh0q, b1sztx2xd79amygbbvdia24et, 7eo3ceto09y3x4j4gh9m91kvd, 8x51gbtkf78eskjolnedvoi51, 64wjz8rl45dql3qdc7ynk3ckq, csye3q50ciculdiggvcefx8x6, 2v1tnyzorjyx7pyf3auj73ytw, 4mroygq2ruxkml5c5j4awwted, au1cbzehllmo4yyt6s0d16rkk, chzhwdk4l54t2kf606bkuiaqd, q1o72uyrvclbkccpjvzugacq, leanv6m97ukx12n5aggvndud, 8cdx7aahcxg6be4qiwv9vq39w, 5leej1ji11foystzd1xj4q961, 5s647zr10m1nxt4xxpxkpgmw9, dyl8h9vm22myhbuuavsimnx05, 8vl4hue7ixvxh4dtner52sfrp, 8erbr3ewwl0o6ib0q4r7tmp9m, bntdkaauxt1thtg6ukfs38g0k, 5ib5990rsa8y9pf2bu4risjqh",4194858181,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194858183,194,chzhwdk4l54t2kf606bkuiaqd,4194858189,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194858177,59,"1, 21, 30, 18, 4, 32, 38, 5, 19, 20, 17, 3, 7, 9, 15, 22, 25, 33, 34, 40",4194858185,197,5162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534599,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0,0,2023-04-16T13:00:29.621Z,2023-04-16T13:00:29Z,4195084479,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534605,2,32,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0,0,2023-04-16T13:00:29.621Z,2023-04-17T06:33:01Z,4195084513,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534645,3,1,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,50.4,50.9,2023-04-16T13:00:29.721Z,2023-04-16T13:28:41Z,4195084731,213,3.3,4195084727,212,23.8,4195084721,56,Back,4195084723,140,28.1,4195084733,279,S,4195084725,141,44.5,,,,,,,dwq0cjzdbt6dvc81bq316c2cp,B. Hussein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534703,4,1,1,0,4,5mbo4f0vps12dr0fcvjn3wyp5,0,23.6,42.1,2023-04-16T13:00:33.970Z,2023-04-16T13:28:44Z,4195084969,157,,4195084977,212,50.5,4195084973,140,67.0,4195084981,1,,4195084975,141,74.0,4195084979,213,0.4,4195084971,56,Center,,,,a0vo94v0vvnojrnvvscd7zp3p,K. Nordfeldt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534809,3,44,1,0,9,2nnlsjfbcea40t4jeclcbw9lk,1,32.2,30.8,2023-04-16T13:00:38.722Z,2023-04-16T13:00:42Z,4195085561,285,,4195085761,233,5,4195085559,56,Back,,,,,,,,,,,,,,,,8x51gbtkf78eskjolnedvoi51,L. Sadiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534851,5,44,1,0,9,5mbo4f0vps12dr0fcvjn3wyp5,0,67.8,69.2,2023-04-16T13:00:38.723Z,2023-04-17T07:07:41Z,4195085727,56,Center,4195085881,233,3,4195085729,286,,,,,,,,,,,,,,,,,5q20jb98g7acxc4ixvuhspwtm,A. Magashy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534821,4,1,1,0,9,2nnlsjfbcea40t4jeclcbw9lk,0,34.1,30.4,2023-04-16T13:00:39.409Z,2023-04-16T13:00:40Z,4195085589,3,,4195085593,140,37.6,4195085597,212,3.7,4195085591,56,Back,4195085599,213,0.2,4195085595,141,31.3,,,,,,,8x51gbtkf78eskjolnedvoi51,L. Sadiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534552699,136,1,1,0,10,5mbo4f0vps12dr0fcvjn3wyp5,0,62.5,67.2,2023-04-16T13:00:40.556Z,2023-04-16T13:13:28Z,4195178781,155,,4195178787,141,84.1,4195178789,212,16.7,4195178785,140,74.1,4195178791,213,0.8,4195178783,56,Left,,,,,,,5verheyzkwkwrmn3k10t7tz6y,R. Tihi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
