id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,assist
2548645401,1,34,16,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0,0,2023-05-14T12:13:21.063Z,2023-05-14T12:13:21Z,4277204991,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4277204995,197,5157,4277204987,59,"30, 2, 8, 13, 4, 3, 11, 7, 10, 16, 23, 9, 14, 15, 17, 18, 19, 20, 21, 40",4277204993,194,6736te1pno19jo5i82obbns2d,4277204997,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4277204983,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4277204989,130,4,4277204979,30,"8adttli9ehdhi2216vpipzkr9, 7yld2a7aw6d3lmmwpu1wovxsl, 96uzhuuez4q5pgxb566ryk53p, 6051gs5j7d6zss35h2twoqnd, a97r48wblkhztm400rnvciok5, 23p0dby12ymf55wwi0xz2fnx1, b9tsqyrv0xp0tt5nzwrmy9gb9, 6736te1pno19jo5i82obbns2d, f3gxyvlnuwl9wglyroa6q2mll, 1m0qpbce7dob7mdbo7titbqp5, 4oxlpwcwpa44hstpm70iep0id, 6u3k1pcpowzvy9qrngb3j3a39, 71ewtolv8guf3m6sh01pf1nmx, 5t5ib5l818gj98xrztrj0kbca, eybt8xfc15yw9kwnbvm64zend, 15mg49mqn215ce4ojukev0o2x, 5k7sf8hvml6cf6f29g9393v11, 2zjl0xu23wp9j6ciq25irsq38, 7pk2vyumro8ku45aar5dw7dw4, 5xkkb1l7y84mwfjsytlqoep04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548648021,1,34,16,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0,0,2023-05-14T12:15:53.017Z,2023-05-14T12:15:53Z,4277218937,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4277218931,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4277218935,130,4,4277218933,59,"1, 32, 30, 18, 4, 13, 20, 5, 9, 17, 7, 15, 19, 21, 22, 25, 33, 34, 38, 40",4277218939,194,chzhwdk4l54t2kf606bkuiaqd,4277218929,30,"4qyy11gb9nepxkd3i7f9axh0q, csye3q50ciculdiggvcefx8x6, 7eo3ceto09y3x4j4gh9m91kvd, 8x51gbtkf78eskjolnedvoi51, 64wjz8rl45dql3qdc7ynk3ckq, 77zrjzfkfp7hozuj05ktwhtqt, chzhwdk4l54t2kf606bkuiaqd, 4mroygq2ruxkml5c5j4awwted, 5leej1ji11foystzd1xj4q961, q1o72uyrvclbkccpjvzugacq, 8cdx7aahcxg6be4qiwv9vq39w, 5s647zr10m1nxt4xxpxkpgmw9, au1cbzehllmo4yyt6s0d16rkk, b1sztx2xd79amygbbvdia24et, dyl8h9vm22myhbuuavsimnx05, 8vl4hue7ixvxh4dtner52sfrp, 8erbr3ewwl0o6ib0q4r7tmp9m, bntdkaauxt1thtg6ukfs38g0k, 2v1tnyzorjyx7pyf3auj73ytw, 5ib5990rsa8y9pf2bu4risjqh",4277218943,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4277218941,197,5162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548687003,2,32,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,0,0,2023-05-14T13:00:51.957Z,2023-05-14T13:00:54Z,4277416521,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548686993,2,32,1,0,0,czkf5t3ai00ghwbga03i5aqxw,1,0,0,2023-05-14T13:00:51.957Z,2023-05-14T13:00:52Z,4277416483,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548687027,3,1,1,0,0,2nnlsjfbcea40t4jeclcbw9lk,1,50.2,49.7,2023-05-14T13:00:52.057Z,2023-05-14T13:01:12Z,4277416619,141,46.7,4277416621,212,14.4,4277416625,213,3.3,4277416631,279,S,4277416617,140,36.6,4277416615,56,Back,,,,,,,5leej1ji11foystzd1xj4q961,A. Nalić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548689061,21,1,1,0,2,2nnlsjfbcea40t4jeclcbw9lk,1,37.6,55,2023-05-14T13:00:53.969Z,2023-05-14T13:03:06Z,4277429349,140,38.7,4277429355,213,1.2,4277429353,212,3.2,4277429351,141,59.4,4277429347,56,Back,,,,,,,,,,8x51gbtkf78eskjolnedvoi51,L. Sadiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548687083,4,1,1,0,4,2nnlsjfbcea40t4jeclcbw9lk,0,38.1,52.4,2023-05-14T13:00:56.542Z,2023-05-14T13:01:00Z,4277416971,141,23.3,4277416963,56,Center,4277416959,155,,4277416975,212,42.7,4277416979,1,,4277416967,140,74.1,4277416977,213,5.8,,,,77zrjzfkfp7hozuj05ktwhtqt,M. Fenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548687085,3,44,1,0,6,czkf5t3ai00ghwbga03i5aqxw,1,25.2,74.6,2023-05-14T13:00:58.162Z,2023-05-14T13:01:00Z,4277416985,285,,4277416983,56,Back,4277417045,233,5,,,,,,,,,,,,,,,,23p0dby12ymf55wwi0xz2fnx1,M. Danielson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548687087,5,44,1,0,6,2nnlsjfbcea40t4jeclcbw9lk,0,74.8,25.4,2023-05-14T13:00:58.163Z,2023-05-14T13:01:00Z,4277417139,233,3,4277416991,56,Center,4277416993,286,,,,,,,,,,,,,,,,,csye3q50ciculdiggvcefx8x6,N. Adjei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548687105,4,1,1,0,7,czkf5t3ai00ghwbga03i5aqxw,1,24.5,72.4,2023-05-14T13:00:59.122Z,2023-05-14T13:01:00Z,4277417095,213,1.0,4277417087,56,Back,4277417093,212,17.8,4277417089,140,33.9,4277417091,141,94.2,4277417085,3,,,,,,,,23p0dby12ymf55wwi0xz2fnx1,M. Danielson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
