id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,assist,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,keyPass,qualifier/12/value,qualifier/16/value
2547893411,1,34,16,0,0,7hlumphk42363z3i2nry2wrzj,1,0,0,2023-05-13T14:36:09.548Z,2023-05-13T15:32:41Z,4273210277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4273210269,59,"1, 20, 3, 9, 4, 24, 19, 7, 5, 10, 14, 2, 16, 17, 18, 22, 23, 26, 32, 45",4273210283,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4273210273,130,2,4273210281,197,8325,4273210265,30,"dzdryjruyr4lpu3t7d5pgpn11, dlxtfrt1ioz51rwnizwz5657t, 2lafgzvhv0er31i6c2nb6xqfo, 9d08simhpio6vi217mqtro6ad, 5vholxar2s1konelieg8wjv85, 7e058o66inex7g90wrwaeauw9, 7qgiqoaaarr6c2bs4yffqwju2, 5e2tf15sp7zo70njveqg1b2z9, 8ntq70sdmvbmmvchvu5jd6ndh, e3n8xatusmgu7ttqpfdjanp3p, 3hn1o03lxsjzju3uorl6rnpxw, 6f45blx9waafcnjbq3fr1efv9, 8sduoq5izghqb70nem1xwujje, 5mvf0ohb2871fz3jhuhgmte22, 5aoxw7yh8oupho0wx6pcndlg5, 60gs7lod7de72ypcs6qfup8q2, 3h50mcu2jfrtj7noz1io0v3rp, 2sjrtjk6wzhqrgvitpevsxoiy, 43tfpd1zge7whbwd5xchiu06i, 3fq2fvvmb2c5ybuz7ocmvzfxm",4273210279,194,8ntq70sdmvbmmvchvu5jd6ndh,4273210267,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547894431,1,34,16,0,0,4mo3tith28qu9za01e8siplsn,1,0,0,2023-05-13T14:36:46.350Z,2023-05-13T14:36:46Z,4273215723,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4273215729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4273215733,197,7846,4273215727,130,13,4273215735,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4273215721,30,"28ro1axs33hk560o9k9vdoamt, 142z7063thl0i1suzjq7kzr9x, uw1y94hwwthwor4cohho58gk, 8hfaq7u5l18azxpig0vlv1exh, 2p9y93r7xfjb71d1bfckcs53p, 1dbt7rghmrochy28w24ro9hhx, 174tz9lh744fhcxzabu00746h, 80mvshlrrlu5vt41gkruwn8fe, 1b0rwzo6ph64v5c00yajvgjmy, 2097lnalyp5iq6vxvmbsnbhuc, ez7xc7vakt4fmabtp61w72yju, b20ropdfff7oj1us6nliccamt, 29eky9s3vfmjomuzwfwi1cmad, bsx2ppp4b3zuxftscqwcxj59m, 40xz5b2qkj6qw867twakfkne2, 8fex5j7leqyofhgd7h65xwkr8, 27tqgrgwe7bvct5ffmr0sqdey, 6hg7vuwjkywi1c66zggzmj5jp, 2wasw4729h0il5c90z5nna9nu, bz5stocchmjbtwzd35qd2be5m",4273215731,194,174tz9lh744fhcxzabu00746h,4273215725,59,"43, 20, 5, 3, 4, 18, 8, 39, 11, 14, 10, 1, 7, 17, 21, 22, 37, 38, 40, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547965897,2,32,1,0,0,7hlumphk42363z3i2nry2wrzj,1,0,0,2023-05-13T15:30:40.064Z,2023-05-13T15:30:40Z,4273587453,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547965923,2,32,1,0,0,4mo3tith28qu9za01e8siplsn,1,0,0,2023-05-13T15:30:40.064Z,2023-05-16T10:00:15Z,4273587565,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547965995,3,1,1,0,0,7hlumphk42363z3i2nry2wrzj,1,50,50,2023-05-13T15:30:40.164Z,2023-05-13T15:30:44Z,4273587941,213,2.8,4273587937,141,60.6,4273587935,140,31.5,4273587943,279,S,4273587933,56,Back,4273587939,212,20.7,,,,,,,e3n8xatusmgu7ttqpfdjanp3p,V. Hammershøy-Mistrati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547966027,4,1,1,0,2,7hlumphk42363z3i2nry2wrzj,0,33.5,53,2023-05-13T15:30:42.940Z,2023-05-16T10:54:58Z,4273588159,213,5.6,4273588149,155,,4273588161,1,,4273588153,140,65.8,4273588155,141,9.5,4273588157,212,45.0,4273588151,56,Right,,,,7e058o66inex7g90wrwaeauw9,A. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547966039,3,44,1,0,5,4mo3tith28qu9za01e8siplsn,1,37.2,78.3,2023-05-13T15:30:46.054Z,2023-05-13T15:30:47Z,4273588329,233,5,4273588241,285,,4273588237,56,Back,,,,,,,,,,,,,,,,ez7xc7vakt4fmabtp61w72yju,I. Lushaku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547966035,5,44,1,0,5,7hlumphk42363z3i2nry2wrzj,0,62.8,21.7,2023-05-13T15:30:46.055Z,2023-05-13T15:36:14Z,4273588459,233,3,4273588203,286,,4273588201,56,Center,,,,,,,,,,,,,,,,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547966057,4,1,1,0,6,4mo3tith28qu9za01e8siplsn,1,40.2,83.5,2023-05-13T15:30:46.853Z,2023-05-13T16:44:03Z,4273588367,212,9.0,4273588363,140,46.2,4273588357,3,,4273588361,56,Back,4273588369,213,0.8,4273588365,141,92.9,,,,,,,ez7xc7vakt4fmabtp61w72yju,I. Lushaku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547966139,5,4,1,0,7,4mo3tith28qu9za01e8siplsn,1,45.8,90.6,2023-05-13T15:30:47.597Z,2023-05-16T10:55:27Z,4273588813,294,,4273588819,286,,4273588811,13,,4273588817,152,,4273588815,56,Back,4273588825,233,6,,,,,,,1b0rwzo6ph64v5c00yajvgjmy,Eliton Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
