id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2540599531,1,34,16,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0,0,2023-04-29T12:04:34.300Z,2023-04-29T13:30:04Z,4234322901,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234322903,194,e3ked0g7shh0wf1owzzv5bkl,4234322893,30,"a0vo94v0vvnojrnvvscd7zp3p, 35s5mefte5hagf4wjv96u9756, 8uvq88srclwb1303aev72iz8p, 67fpbhmyalc9zlkqts4mwafh1, e3ked0g7shh0wf1owzzv5bkl, 5verheyzkwkwrmn3k10t7tz6y, 5q20jb98g7acxc4ixvuhspwtm, dwq0cjzdbt6dvc81bq316c2cp, 6utvjndbc0etrvdrul1oajdp0, 3xx0l8c30mjstvxq7z1s0fnit, 4dswyr2m0bxs6rkf56y21mz85, 8lrsefp53ez5jm3hd5fy8tck5, 5dxrx40pty4wtwdrd341p0aju, reelt18o0lhvy8vl8h33glpl, 5lg03j9iuxh9pm63esegw20vd, 2q5dedfrzn793s2alaaig8i6s, 4utpi6ulxymm3729oqdmzbwlx, cn1fq06cx1kaj0zbs98vjskb9, 46cpb4wc30lcdjh6241bd29cl, b5efwfrqbzdfknrjq3agklvdg",4234322905,197,5149,4234322895,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4234322899,130,12,4234322897,59,"15, 32, 25, 6, 5, 16, 14, 8, 47, 11, 22, 7, 9, 12, 17, 18, 20, 10, 23, 45",4234322907,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540599627,1,34,16,0,0,4jg5vd59i24chckyua90dr1lg,1,0,0,2023-04-29T12:04:44.468Z,2023-04-29T12:57:56Z,4234323419,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4234323429,197,5799,4234323427,194,9z8zmq5mh3nzaxtvpf5ox3snp,4234323417,30,"4mnn3qqpodu948yni3okjj7qh, 27a8ay3weff9zyxw7usa54cet, cdlngd5oc988etq8dp8bh4s7p, 9sgtxk82p3wstmmncfw7n5fu2, dcewpavwmjbplo5fahrzfxega, 9z8zmq5mh3nzaxtvpf5ox3snp, bhaqw4112j43c753dlxhy61ud, 546vmchsyl1wt10pr13r5oup6, 9nafz0c0x2qvmo5ldm0djmcq1, 72eskzopskdqlizss1nhznuqy, 94v0gyaccr498bwf5enqyhox6, 85jw7q58nuiekjl7snvmkjyp6, gkyakbpfwhi9ura3y4zz0tuc, 3xrja99d4b0jewfjzelq4rspg, 7i8utv6wtfvi4cm30trc13f8p, 16yubrg729egk45a0g71aog7o, 7ckkvggtampx9s3nklr1u62vo, 9jrfung6r7y51st0ii7awa9ec, au9h3i90r6jzx2meizig72ve2, es8z1xh8vhhtrjs8jrfbrqrro",4234323421,59,"30, 14, 21, 5, 13, 6, 8, 19, 28, 22, 7, 2, 16, 18, 23, 27, 31, 33, 35, 36",4234323423,130,4,4234323431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234323425,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540643699,2,32,1,0,0,5mbo4f0vps12dr0fcvjn3wyp5,1,0,0,2023-04-29T13:01:51.509Z,2023-04-30T12:43:10Z,4234544981,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540643721,2,32,1,0,0,4jg5vd59i24chckyua90dr1lg,1,0,0,2023-04-29T13:01:51.509Z,2023-04-29T13:01:52Z,4234545091,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540643757,3,1,1,0,1,5mbo4f0vps12dr0fcvjn3wyp5,1,49.9,49.9,2023-04-29T13:01:52.609Z,2023-04-30T08:48:41Z,4234545307,279,S,4234545303,212,26.5,4234545299,140,27.0,4234545305,213,3.6,4234545297,56,Back,4234545301,141,33.6,,,,,,,6utvjndbc0etrvdrul1oajdp0,A. Fesshaie,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540643813,4,1,1,0,3,5mbo4f0vps12dr0fcvjn3wyp5,1,27.5,33.6,2023-04-29T13:01:55.081Z,2023-04-29T13:02:00Z,4234545581,1,,4234545577,212,49.0,4234545579,213,0.6,4234545571,56,Center,4234545575,141,74.4,4234545569,155,,4234545573,140,66.0,,,,e3ked0g7shh0wf1owzzv5bkl,A. Milošević,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540643821,5,44,1,0,7,5mbo4f0vps12dr0fcvjn3wyp5,1,70.7,78.3,2023-04-29T13:01:58.889Z,2023-04-29T13:10:26Z,4234545625,286,,4234545673,233,3,4234545621,56,Center,,,,,,,,,,,,,,,,5q20jb98g7acxc4ixvuhspwtm,A. Magashy,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540643805,3,44,1,0,7,4jg5vd59i24chckyua90dr1lg,0,29.3,21.7,2023-04-29T13:01:58.890Z,2023-04-29T13:10:23Z,4234545691,233,5,4234545529,285,,4234545527,56,Back,,,,,,,,,,,,,,,,27a8ay3weff9zyxw7usa54cet,A. Bjarnason,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540643851,6,1,1,0,8,5mbo4f0vps12dr0fcvjn3wyp5,0,66.6,74.5,2023-04-29T13:01:59.633Z,2023-04-29T13:57:32Z,4234545781,212,18.5,4234545775,56,Left,4234545777,140,83.0,4234545779,141,84.5,4234545773,3,,4234545783,213,0.4,,,,,,,5q20jb98g7acxc4ixvuhspwtm,A. Magashy,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540643847,4,49,1,0,9,4jg5vd59i24chckyua90dr1lg,1,12.1,11.1,2023-04-29T13:02:01.238Z,2023-04-29T13:02:01Z,,,,,,,,,,,,,,,,,,,,,,,,,dcewpavwmjbplo5fahrzfxega,J. Voelkerling Persson,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540643877,5,1,1,0,11,4jg5vd59i24chckyua90dr1lg,0,7.8,7.4,2023-04-29T13:02:02.967Z,2023-04-29T13:02:05Z,4234545939,1,,4234546027,233,7,4234545929,56,Back,4234545933,141,5.6,4234545935,212,3.0,4234546031,286,,4234545937,213,5.9,4234545927,157,,dcewpavwmjbplo5fahrzfxega,J. Voelkerling Persson,4234546025,236,4234545931,140,10.4,,,,,,,,,,,,,,,,,,,,,,
2540643895,7,74,1,0,11,5mbo4f0vps12dr0fcvjn3wyp5,1,87.9,92.6,2023-04-29T13:02:02.968Z,2023-04-29T13:57:12Z,4234545997,56,Left,4234545999,285,,4234546045,233,5,,,,,,,,,,,,,,,,3xx0l8c30mjstvxq7z1s0fnit,J. Guidetti,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540643905,6,5,1,0,14,4jg5vd59i24chckyua90dr1lg,1,7.7,-1.8,2023-04-29T13:02:05.639Z,2023-04-29T13:02:07Z,4234546059,347,,4234546057,56,Back,4234546073,233,8,,,,,,,,,,,,,,,,dcewpavwmjbplo5fahrzfxega,J. Voelkerling Persson,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540643899,8,5,1,0,14,5mbo4f0vps12dr0fcvjn3wyp5,0,92.3,101.8,2023-04-29T13:02:05.639Z,2023-04-29T13:57:02Z,4234546035,347,,4234546033,56,Left,4234546107,233,6,,,,,,,,,,,,,,,,5q20jb98g7acxc4ixvuhspwtm,A. Magashy,,,,,,,,,,,,,,,,,,,,,,,,,,,
