id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/11/value,qualifier/10/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value
2542248201,1,34,16,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0,0,2023-05-01T12:05:20.451Z,2023-05-01T12:05:20Z,4243065515,130,8,4243065513,59,"12, 2, 17, 21, 13, 3, 5, 7, 9, 8, 14, 11, 16, 18, 20, 22, 25, 27, 28, 30",4243065511,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4243065521,197,5169,4243065509,30,"cnfkqyunacrm7mli650a3l3ze, 9z851x28so30uk7ihonmrk79x, 9ha2m6934ior2yh2npdorg4b9, 2vfhae70oyyzm0qttlckworqi, 2erjnb3l5mngpxyicnzhk7phx, aq0upomgtrmvzxuvvw0n4rf9w, 3ihcnb7xmqlsefg10xbdraqqd, 5por6xcmx2po85tvz9cy76m6t, 4k8cw1lmtdkcx1vetcwccnefp, a4de7kgp5ivhwckmtv5htu162, ci4crclo00uz8rtudodhpwoh5, 4w0adddkbx4642lkebbcmxbzd, dptjb2pmzpzagb4rcndchf7ro, 1vla5l510mtb859zevvplneju, 45rssbwxy4kmge5ff85dm7bop, cyhahh7i66n9roydrquwo14pg, 1k2svnzs4woe6gpegqlrxjjf8, ee68c10l2nqr10kz1pwead0k4, 49ivimgxshcxfyf28o7frc02y, av9lz5umeimwlq7v4q4d7twr8",4243065523,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4243065519,194,4k8cw1lmtdkcx1vetcwccnefp,4243065517,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542249033,1,34,16,0,0,7hlumphk42363z3i2nry2wrzj,1,0,0,2023-05-01T12:07:38.736Z,2023-05-01T13:02:52Z,4243069885,194,8ntq70sdmvbmmvchvu5jd6ndh,4243069867,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4243069881,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4243069877,130,4,4243069887,197,2621,4243069889,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4243069859,30,"dzdryjruyr4lpu3t7d5pgpn11, 2lafgzvhv0er31i6c2nb6xqfo, 3hn1o03lxsjzju3uorl6rnpxw, 5jv0xmo83g4lbzo8nodqbh46i, 6f45blx9waafcnjbq3fr1efv9, 7e058o66inex7g90wrwaeauw9, 5e2tf15sp7zo70njveqg1b2z9, 9d08simhpio6vi217mqtro6ad, 8ntq70sdmvbmmvchvu5jd6ndh, 7qgiqoaaarr6c2bs4yffqwju2, 5mb3g5nufbwhw09w3wgm6glwp, 5aoxw7yh8oupho0wx6pcndlg5, 60gs7lod7de72ypcs6qfup8q2, 3h50mcu2jfrtj7noz1io0v3rp, 2sjrtjk6wzhqrgvitpevsxoiy, f01ppm88j40lvhe0i6xksw0es, 43tfpd1zge7whbwd5xchiu06i, u8v2y6na1b1q5ug2nnmbzx90, bfnqlxk0wiv1uy0ptwwqhk9hw, 3fq2fvvmb2c5ybuz7ocmvzfxm",4243069873,59,"1, 3, 14, 21, 2, 24, 7, 9, 5, 19, 8, 18, 22, 23, 26, 28, 32, 35, 37, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542277415,2,32,1,0,0,7hlumphk42363z3i2nry2wrzj,1,0,0,2023-05-01T13:04:35.869Z,2023-05-01T13:04:38Z,4243220639,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542277405,2,32,1,0,0,evf5hhqgnjhwjsth1m6pawxdp,1,0,0,2023-05-01T13:04:35.869Z,2023-05-02T15:52:31Z,4243220603,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542277421,3,1,1,0,1,7hlumphk42363z3i2nry2wrzj,1,50.3,49.7,2023-05-01T13:04:37.229Z,2023-05-02T15:55:29Z,4243220681,213,3.2,4243220683,279,S,4243220675,140,33.5,4243220673,56,Back,4243220677,141,47.8,4243220679,212,17.7,,,,,,,9d08simhpio6vi217mqtro6ad,A. Traustason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542277503,4,1,1,0,2,7hlumphk42363z3i2nry2wrzj,1,36.3,64.8,2023-05-01T13:04:38.374Z,2023-05-01T13:04:44Z,4243221079,56,Right,4243221077,196,,4243221081,140,62.9,4243221085,212,50.4,4243221083,141,3.1,4243221075,155,,4243221089,1,,4243221087,213,5.3,7e058o66inex7g90wrwaeauw9,A. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542277511,5,61,1,0,7,7hlumphk42363z3i2nry2wrzj,0,62.9,3.1,2023-05-01T13:04:43.583Z,2023-05-02T16:01:59Z,4243221113,56,Right,,,,,,,,,,,,,,,,,,,,,,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542277515,3,5,1,0,8,evf5hhqgnjhwjsth1m6pawxdp,1,33.4,101.8,2023-05-01T13:04:44.848Z,2023-05-01T13:04:46Z,4243221123,347,,4243221121,56,Back,4243221243,233,6,,,,,,,,,,,,,,,,4k8cw1lmtdkcx1vetcwccnefp,M. Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542277529,6,5,1,0,8,7hlumphk42363z3i2nry2wrzj,0,66.6,-1.8,2023-05-01T13:04:44.848Z,2023-05-01T13:08:24Z,4243221255,233,3,4243221197,347,,4243221195,56,Right,,,,,,,,,,,,,,,,7qgiqoaaarr6c2bs4yffqwju2,V. Lind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542277639,4,1,1,0,17,evf5hhqgnjhwjsth1m6pawxdp,1,29.9,100,2023-05-01T13:04:53.829Z,2023-05-01T13:04:56Z,4243221737,56,Back,4243221741,141,89.3,4243221739,140,44.2,4243221745,213,5.8,4243221743,212,17.3,4243221735,107,,,,,,,,9ha2m6934ior2yh2npdorg4b9,O. Wendt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
